;X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
480;766744.94;6284783.62;0.69;0.17;66;5520;42.4
481;766747.57;6284782.1;0.69;0.32;61;5520;40.8
482;766750.16;6284780.71;0.68;0.28;66;5440;43.8
483;766752.75;6284779.3;0.7;0.43;59;5600;41
484;766755.6;6284777.82;0.8;0.52;60;6400;45.5
485;766758.1;6284776.52;0.76;0.33;69;6080;49.1
486;766760.86;6284775.11;0.76;0.47;33;6080;26.9
487;766763.28;6284773.8;0.76;0.22;65;6080;44
488;766765.98;6284772.4;0.78;0.42;64;6240;46.8
489;766768.41;6284771.11;0.8;0.49;52;6400;39
490;766771.27;6284769.6;0.73;0.27;69;5840;47.3
491;766773.8;6284768.2;0.79;0.26;65;6320;45.3
492;766776.27;6284766.84;0.6;0.45;49;4800;32.7
493;766778.78;6284765.5;0.67;0.5;59;5360;41.4
494;766781.45;6284764.09;0.71;0.43;61;5680;42.8
495;766784.18;6284762.72;0.78;0.38;64;6240;46.1
496;766786.87;6284761.39;0.64;0.47;62;5120;42.5
497;766789.5;6284760.07;0.72;0.31;62;5760;42.1
498;766792.14;6284758.63;0.68;0.46;61;5440;42.5
499;766794.84;6284757.2;0.73;0.24;68;5840;46
500;766797.35;6284755.86;0.74;0.38;69;5920;49.4
501;766800.1;6284754.42;0.73;0.49;77;5840;58.9
502;766798.4;6284752.31;0.69;0.49;68;5520;49
503;766792.78;6284752.31;0.67;0.38;60;5360;40.4
504;766790.08;6284753.66;0.64;0.28;59;5120;37.7
505;766787.46;6284755.04;0.67;0.3;57;5360;37.3
506;766784.95;6284756.38;0.62;0.36;67;4960;44.3
507;766782.37;6284757.84;0.71;0.28;68;5680;46.1
508;766779.74;6284759.27;0.64;0.31;56;5120;36.1
509;766777.16;6284760.64;0.71;0.27;63;5680;42
510;766774.62;6284761.89;0.79;0.3;59;6320;41.2
511;766771.94;6284763.33;0.74;0.34;54;5920;37.2
512;766769.17;6284764.72;0.83;0.29;61;6640;43.6
513;766766.5;6284766.13;0.76;0.39;59;6080;41.8
514;766763.89;6284767.49;0.8;0.42;42;6400;31.8
515;766761.17;6284768.99;0.77;0.28;62;6160;42.8
516;766758.62;6284770.41;0.75;0.27;63;6000;42.9
517;766755.78;6284771.8;0.85;0.31;61;6800;44.3
518;766753.54;6284772.95;0.72;0.31;49;5760;33.3
519;766750.72;6284774.54;0.75;0.25;64;6000;43.4
520;766748.23;6284775.86;0.75;0.23;58;6000;38.7
521;766745.5;6284777.41;0.75;0.34;57;6000;39.5
522;766742.82;6284778.78;0.74;0.28;54;5920;36.4
523;766740.22;6284780.18;0.7;0.22;55;5600;35.5
524;766737.75;6284781.6;0.7;0.29;53;5600;35.1
525;766735.44;6284782.72;0.86;0.38;46;6880;34.8
526;766732.35;6284784.23;0.74;0.26;65;5920;44.1
527;766729.85;6284785.5;0.76;0.26;54;6080;36.6
528;766727.27;6284786.86;0.7;0.21;51;5600;33
529;766724.32;6284788.51;0.74;0.33;55;5920;37.7
530;766721.68;6284789.89;0.67;0.22;62;5360;39.7
531;766718.94;6284791.4;0.76;0.21;61;6080;40.8
532;766716.09;6284792.85;0.74;0.4;62;5920;43.8
533;766714.02;6284793.9;0.72;0.3;53;5760;35.6
534;766710.76;6284795.61;0.69;0.25;61;5520;39.8
535;766708.25;6284797.05;0.77;0.29;59;6160;40.7
536;766705.49;6284798.5;0.73;0.32;57;5840;38.8
537;766702.83;6284799.92;0.75;0.31;52;6000;35.7
538;766700.31;6284801.2;0.71;0.23;61;5680;40
539;766697.01;6284802.96;0.88;0.38;41;7040;32.2
540;766694.92;6284804.15;0.7;0.29;61;5600;40.6
541;766691.95;6284805.66;0.67;0.31;49;5360;32.4
542;766689.4;6284807;0.77;0.3;43;6160;30.6
543;766687.17;6284808.1;0.76;0.32;53;6080;36.7
544;766683.62;6284809.91;0.71;0.25;59;5680;38.8
545;766681.2;6284811.22;0.75;0.23;70;6000;48.1
546;766678.79;6284812.44;0.81;0.39;47;6480;34.6
547;766675.8;6284814.09;0.83;0.23;60;6640;41.9
548;766673.14;6284815.53;0.85;0.37;62;6800;46.1
549;766670.69;6284816.84;0.69;0.25;68;5520;45.2
550;766667.93;6284818.3;0.72;0.28;52;5760;34.7
551;766665.35;6284819.67;0.7;0.33;52;5600;35
552;766662.65;6284821.14;0.7;0.17;57;5600;36.2
553;766659.77;6284822.68;0.81;0.29;39;6480;29
554;766657.3;6284823.98;0.77;0.33;57;6160;39.8
555;766654.36;6284825.47;0.68;0.39;42;5440;29.5
556;766651.85;6284826.8;0.85;0.34;48;6800;35.4
557;766648.49;6284826.21;0.64;0.39;56;5120;37.1
558;766648.79;6284822.66;0.68;0.47;59;5440;41.2
559;766651.22;6284821.51;0.82;0.33;54;6560;38.7
560;766654.44;6284819.88;0.76;0.24;59;6080;39.8
561;766656.68;6284818.64;0.66;0.16;70;5280;44.7
562;766659.26;6284817.25;0.65;0.16;64;5200;39.9
563;766661.85;6284815.84;0.64;0.18;53;5120;32.7
564;766664.1;6284814.63;0.69;0.15;62;5520;39.2
565;766667.15;6284813.09;0.7;0.42;55;5600;38.1
566;766669.57;6284811.87;0.72;0.29;64;5760;43.3
567;766672.3;6284810.37;0.72;0.34;57;5760;38.8
568;766675.04;6284808.93;0.79;0.5;54;6320;40.3
569;766677.37;6284807.72;0.72;0.2;68;5760;45.1
570;766679.97;6284806.31;0.69;0.46;40;5520;29.3
571;766682.64;6284804.98;0.78;0.48;45;6240;33.9
572;766685.2;6284803.63;0.78;0.36;61;6240;43.4
573;766687.82;6284802.25;0.74;0.43;56;5920;39.7
574;766690.52;6284800.85;0.73;0.35;66;5840;46.1
575;766693.13;6284799.54;0.66;0.39;62;5280;41.8
576;766695.69;6284798.15;0.72;0.47;64;5760;46
577;766698.51;6284796.63;0.73;0.48;66;5840;48.2
578;766701.02;6284795.32;0.74;0.24;67;5920;45.4
579;766703.67;6284793.94;0.73;0.33;63;5840;43.4
580;766706.26;6284792.5;0.73;0.44;55;5840;39
581;766708.79;6284791.18;0.77;0.35;55;6160;38.6
582;766711.48;6284789.73;0.74;0.27;61;5920;41.2
583;766714.13;6284788.31;0.75;0.41;57;6000;40.4
584;766716.7;6284786.98;0.67;0.25;65;5360;42.3
585;766719.34;6284785.6;0.68;0.33;65;5440;43.7
586;766721.93;6284784.23;0.71;0.21;61;5680;39.7
587;766724.81;6284782.79;0.73;0.27;56;5840;37.4
588;766727.17;6284781.56;0.73;0.19;61;5840;39.9
589;766729.76;6284780.13;0.78;0.25;59;6240;40.3
590;766732.64;6284778.65;0.71;0.43;63;5680;44.4
591;766735.33;6284777.21;0.72;0.53;55;5760;39.9
592;766737.77;6284775.94;0.81;0.3;47;6480;33.6
593;766740.34;6284774.63;0.73;0.18;61;5840;39.7
594;766743.48;6284772.97;0.7;0.5;47;5600;33.8
595;766746.08;6284771.61;0.71;0.54;66;5680;48.6
596;766748.64;6284770.19;0.75;0.39;70;6000;50.8
597;766751.07;6284768.86;0.65;0.59;58;5200;41.4
598;766753.57;6284767.57;0.7;0.48;55;5600;38.8
599;766756.24;6284766.12;0.78;0.43;62;6240;45.3
600;766758.96;6284764.73;0.7;0.5;62;5600;44.4
601;766761.53;6284763.36;0.89;0.52;66;7120;53.3
602;766764;6284762.07;0.76;0.23;67;6080;45.8
603;766766.59;6284760.7;0.74;0.3;71;5920;49.9
604;766769.14;6284759.3;0.8;0.24;69;6400;48.7
605;766771.74;6284757.98;0.7;0.33;63;5600;42.6
606;766774.44;6284756.54;0.77;0.43;64;6160;46.7
607;766777;6284755.3;0.76;0.35;57;6080;39.8
608;766779.72;6284753.95;0.68;0.49;61;5440;43
609;766782.47;6284752.55;0.74;0.39;67;5920;47.8
610;766784.86;6284751.24;0.64;0.21;74;5120;48.3
611;766785.32;6284750.88;0.82;0.2;80;6560;59.2
612;766786.1;6284750.33;0.76;0.32;77;6080;56.5
613;766786.57;6284749.91;0.57;0.12;27;4560;19.3
