X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766697.78;6284811.06;0.74;0.28;0.87;5920
766695.3;6284812.34;0.74;0.21;0.87;5920
766692.5;6284813.84;0.69;0.25;0.81;5520
766690.19;6284815.03;0.62;0.23;0.74;4960
766687.71;6284816.38;0.77;0.23;0.78;6160
766684.87;6284817.85;0.55;0.32;0.58;4400
766682.45;6284819.13;0.71;0.25;0.79;5680
766679.79;6284820.54;0.75;0.29;0.67;6000
766677.26;6284821.81;0.61;0.34;0.7;4880
766674.67;6284823.21;0.64;0.3;0.77;5120
766672.31;6284824.42;0.65;0.32;0.82;5200
766669.52;6284825.88;0.67;0.3;0.84;5360
766667.05;6284827.24;0.71;0.35;0.84;5680
766664.46;6284828.62;0.75;0.3;0.76;6000
766661.61;6284830.15;0.7;0.35;0.75;5600
766659.39;6284831.33;0.72;0.29;0.82;5760
766656.83;6284832.59;0.75;0.25;0.75;6000
766654.08;6284833.96;0.67;0.3;0.72;5360
766651.51;6284832.4;0.71;0.38;0.75;5680
766652.87;6284829.38;0.71;0.49;0.62;5680
766655.41;6284827.99;0.78;0.47;0.72;6240
766658.03;6284826.6;0.72;0.29;0.82;5760
766660.52;6284825.22;0.71;0.36;0.76;5680
766663.11;6284823.82;0.72;0.37;0.84;5760
766665.75;6284822.49;0.68;0.47;0.64;5440
766668.3;6284821.16;0.74;0.27;0.81;5920
766671.16;6284819.72;0.73;0.33;0.79;5840
766673.81;6284818.33;0.69;0.33;0.78;5520
766676.32;6284817.02;0.79;0.34;0.79;6320
766679.03;6284815.58;0.69;0.4;0.77;5520
766681.59;6284814.25;0.69;0.45;0.82;5520
766684.21;6284812.88;0.79;0.41;0.81;6320
766686.76;6284811.55;0.48;0.43;0.67;3840
766689.45;6284810.1;0.73;0.38;0.7;5840
766691.92;6284808.81;0.88;0.42;0.81;7040
766694.64;6284807.34;0.82;0.34;0.84;6560
766697.25;6284805.95;0.87;0.38;0.81;6960
766699.86;6284804.61;0.68;0.46;0.74;5440
766702.36;6284803.37;0.76;0.34;0.85;6080
766704.88;6284801.96;0.75;0.43;0.77;6000
766707.4;6284800.65;0.85;0.37;0.8;6800
766709.99;6284799.19;0.79;0.49;0.79;6320
766712.54;6284797.81;0.78;0.27;0.76;6240
766715.15;6284796.45;0.7;0.22;0.76;5600
766717.3;6284795.31;0.67;0.22;0.69;5360
766720.16;6284793.85;0.69;0.21;0.79;5520
766722.92;6284792.46;0.66;0.25;0.86;5280
766725.16;6284791.21;0.71;0.12;0.77;5680
766728.32;6284789.6;0.65;0.2;0.84;5200
766730.54;6284788.43;0.72;0.25;0.88;5760
766733.17;6284787.02;0.69;0.23;0.83;5520
766735.93;6284785.47;0.7;0.59;0.64;5600
766738.5;6284784.16;0.71;0.17;0.85;5680
766741.32;6284782.7;0.72;0.41;0.76;5760
766743.9;6284781.33;0.69;0.37;0.83;5520
766746.56;6284779.8;0.7;0.32;0.88;5600
766748.99;6284778.49;0.66;0.46;0.71;5280
766751.67;6284777.04;0.7;0.34;0.78;5600
766754.3;6284775.69;0.76;0.48;0.81;6080
766756.75;6284774.42;0.79;0.54;0.65;6320
766759.4;6284773.08;0.72;0.23;0.8;5760
766761.84;6284771.75;0.94;0.29;0.75;7520
766764.42;6284770.4;0.78;0.45;0.76;6240
766767.56;6284768.73;0.65;0.36;0.75;5200
766769.93;6284767.47;0.74;0.3;0.82;5920
