X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766721.21;6284798.73;0.64;0.13;56;5120;103.4
766717.92;6284800.44;0.65;0.22;65;5200;123.7
766715.83;6284801.64;0.67;0.21;60;5360;115
766713.16;6284802.99;0.82;0.26;53;6560;115.5
766710.44;6284804.44;0.68;0.33;54;5440;106.6
766708.32;6284805.47;0.78;0.26;56;6240;118
766705.64;6284806.95;0.76;0.35;53;6080;112
766702.79;6284808.43;0.61;0.31;54;4880;100.6
766700.31;6284809.7;0.7;0.26;61;5600;120.9
766697.78;6284811.06;0.74;0.28;67;5920;138.8
766695.3;6284812.34;0.74;0.21;67;5920;137.2
766692.5;6284813.84;0.69;0.25;61;5520;119.7
766690.19;6284815.03;0.62;0.23;54;4960;100.1
766687.71;6284816.38;0.77;0.23;58;6160;120.4
766684.87;6284817.85;0.55;0.32;38;4400;72.9
766682.45;6284819.13;0.71;0.25;59;5680;117.3
766679.79;6284820.54;0.75;0.29;47;6000;99.1
766677.26;6284821.81;0.61;0.34;50;4880;94.3
766674.67;6284823.21;0.64;0.3;57;5120;108.3
766672.31;6284824.42;0.65;0.32;62;5200;119.5
766669.52;6284825.88;0.67;0.3;64;5360;125.3
766667.05;6284827.24;0.71;0.35;64;5680;130.2
766664.46;6284828.62;0.75;0.3;56;6000;115.9
766661.61;6284830.15;0.7;0.35;55;5600;110.5
766659.39;6284831.33;0.72;0.29;62;5760;125.5
766656.83;6284832.59;0.75;0.25;55;6000;113.1
766654.08;6284833.96;0.67;0.3;52;5360;101.6
766651.51;6284832.4;0.71;0.38;55;5680;112
766652.87;6284829.38;0.71;0.49;42;5680;91.2
766655.41;6284827.99;0.78;0.47;52;6240;114.2
766658.03;6284826.6;0.72;0.29;62;5760;125.5
766660.52;6284825.22;0.71;0.36;56;5680;113.5
766663.11;6284823.82;0.72;0.37;64;5760;131.7
766665.75;6284822.49;0.68;0.47;44;5440;91.9
766668.3;6284821.16;0.74;0.27;61;5920;125
766671.16;6284819.72;0.73;0.33;59;5840;120.9
766673.81;6284818.33;0.69;0.33;58;5520;115.3
766676.32;6284817.02;0.79;0.34;59;6320;126.9
766679.03;6284815.58;0.69;0.4;57;5520;114.6
766681.59;6284814.25;0.69;0.45;62;5520;126.1
766684.21;6284812.88;0.79;0.41;61;6320;133.1
766686.76;6284811.55;0.48;0.43;47;3840;82.2
766689.45;6284810.1;0.73;0.38;50;5840;104.3
766691.92;6284808.81;0.88;0.42;61;7040;142.8
766694.64;6284807.34;0.82;0.34;64;6560;141.7
766697.25;6284805.95;0.87;0.38;61;6960;140.7
766699.86;6284804.61;0.68;0.46;54;5440;109.1
766702.36;6284803.37;0.76;0.34;65;6080;137.5
766704.88;6284801.96;0.75;0.43;57;6000;120.7
766707.4;6284800.65;0.85;0.37;60;6800;136.2
766709.99;6284799.19;0.79;0.49;59;6320;130.2
766712.54;6284797.81;0.78;0.27;56;6240;118
766715.15;6284796.45;0.7;0.22;56;5600;110.1
766717.3;6284795.31;0.67;0.22;49;5360;95.3
766720.16;6284793.85;0.69;0.21;59;5520;114.8
766722.92;6284792.46;0.66;0.25;66;5280;127.4
766725.16;6284791.21;0.71;0.12;57;5680;111
766728.32;6284789.6;0.65;0.2;64;5200;121.2
766730.54;6284788.43;0.72;0.25;68;5760;138.4
766733.17;6284787.02;0.69;0.23;63;5520;123.4
766735.93;6284785.47;0.7;0.59;44;5600;95.3
766738.5;6284784.16;0.71;0.17;65;5680;128.5
766741.32;6284782.7;0.72;0.41;56;5760;115.5
766743.9;6284781.33;0.69;0.37;63;5520;126.6
766746.56;6284779.8;0.7;0.32;68;5600;137.8
766748.99;6284778.49;0.66;0.46;51;5280;101.8
766751.67;6284777.04;0.7;0.34;58;5600;116.2
766754.3;6284775.69;0.76;0.48;61;6080;131.4
766756.75;6284774.42;0.79;0.54;45;6320;103
766759.4;6284773.08;0.72;0.23;60;5760;119.9
766761.84;6284771.75;0.94;0.29;55;7520;132
766764.42;6284770.4;0.78;0.45;56;6240;121.9
766767.56;6284768.73;0.65;0.36;55;5200;106.6
766769.93;6284767.47;0.74;0.3;62;5920;127.7
766772.67;6284765.97;0.81;0.41;53;6480;117.6
766774.98;6284764.71;0.74;0.37;59;5920;122.7
766777.77;6284763.22;0.69;0.31;61;5520;120.9
766780.14;6284761.95;0.7;0.37;62;5600;125.3
766782.94;6284760.55;0.71;0.49;56;5680;116.2
766785.71;6284759.19;0.75;0.52;66;6000;143.1
766788.32;6284757.87;0.78;0.49;64;6240;141.1
766790.98;6284756.41;0.68;0.63;58;5440;120.4
766793.64;6284755.01;0.71;0.52;68;5680;143.8
766796.24;6284753.63;0.68;0.55;58;5440;118.7
766798.91;6284752.23;0.7;0.44;58;5600;118.3
766800.78;6284750.94;0.67;0.43;66;5360;132.6
766791.47;6284750.17;0.82;0.26;66;6560;144.9
766789.19;6284751.29;0.84;0.18;62;6720;135.3
766786.34;6284752.81;0.65;0.22;65;5200;123.7
766783.75;6284754.18;0.75;0.23;71;6000;148.9
766781.19;6284755.63;0.71;0.18;70;5680;140.4
766778.57;6284757.06;0.73;0.26;65;5840;132.6
766775.87;6284758.5;0.73;0.24;57;5840;115
766773.47;6284759.67;0.6;0.29;55;4800;101.3
766770.67;6284761.16;0.77;0.21;68;6160;142.8
766767.94;6284762.54;0.77;0.25;55;6160;114.8
766765.38;6284763.91;0.75;0.39;52;6000;109.9
766762.72;6284765.29;0.77;0.2;65;6160;135.3
766760.29;6284766.61;0.69;0.14;63;5520;121.7
766757.27;6284768.28;0.76;0.27;62;6080;129.1
766754.72;6284769.53;0.65;0.25;62;5200;118
766751.9;6284770.97;0.67;0.24;57;5360;109.7
766749.54;6284772.33;0.66;0.19;59;5280;111.8
766746.88;6284773.75;0.76;0.3;60;6080;125.3
