X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766672.64;6284824.64;0.24;0.24;36;1920;44
766669.43;6284826.15;0.43;0.13;43;3440;68.1
766666.28;6284827.89;0.38;0.06;38;3040;54.2
766664.48;6284828.81;0.34;0.08;46;2720;65.2
766660.72;6284830.79;0.41;0.16;42;3280;65.1
766658.45;6284832;0.13;0.17;38;1040;38.9
766656.48;6284832.86;0.49;0.05;20;3920;35
766653.84;6284834.22;0.25;0.3;22;2000;27.2
766651.02;6284832.54;0.46;0.12;32;3680;51.3
766652.35;6284829.75;0.37;0.3;16;2960;15.9
766654.5;6284828.6;0.47;0.06;38;3760;60.9
766656.91;6284827.28;0.36;0.05;52;2880;78
766659.3;6284826;0.48;0.12;28;3840;46.5
766663.44;6284823.78;0.52;0.12;19;4160;36.4
766664.77;6284822.97;0.31;0.06;35;2480;44.6
766668.13;6284821.41;0.47;0.08;32;3760;51.3
766670.7;6284819.98;0.41;0.11;47;3280;73.7
766672.61;6284818.98;0.51;0.06;19;4080;23
766675.93;6284817.38;0.41;0.16;45;3280;70.7
766678.75;6284815.69;0.38;0.11;37;3040;53.3
766680.91;6284814.69;0.48;0.11;23;3840;39.1
766683.87;6284813.22;0.46;0.21;39;3680;64.7
766685.46;6284812.38;0.46;0.1;36;3680;57.5
766690.02;6284809.9;0.45;0.14;51;3600;86.3
766692.03;6284808.81;0.44;0.13;44;3520;70.7
766694.83;6284807.36;0.44;0.11;32;3520;49.6
766697.06;6284806.15;0.42;0.18;40;3360;62.7
766699.3;6284805.01;0.44;0.13;36;3520;56.5
766702.78;6284803.19;0.45;0.18;37;3600;59.7
766705.87;6284801.5;0.38;0.14;21;3040;31
766708.08;6284800.34;0.46;0.1;42;3680;68.1
766710.61;6284798.92;0.42;0.1;37;3360;56.2
766713.2;6284797.5;0.52;0.05;35;4160;59.6
766716.35;6284795.81;0.49;0.13;28;3920;47.3
766719.31;6284794.25;0.41;0.09;49;3280;77.3
766721.72;6284793.05;0.52;0.08;33;4160;56.7
766724.54;6284791.59;0.43;0.12;43;3440;67.9
766726.65;6284790.45;0.45;0.14;33;3600;52.4
766729.6;6284788.93;0.48;0.11;38;3840;62.7
766732.25;6284787.53;0.43;0.13;31;3440;47.8
766734.47;6284786.34;0.47;0.14;15;3760;28.7
766738.37;6284784.2;0.47;0.17;36;3760;59.4
766739.97;6284783.42;0.45;0.16;33;3600;52.7
766743.09;6284781.67;0.49;0.18;31;3920;52.7
766745.39;6284780.42;0.25;0.19;15;2000;18.4
766747.83;6284779.11;0.49;0.3;24;3920;43.8
766751.59;6284777.07;0.44;0.11;40;3520;63
766753.56;6284776.05;0.38;0.12;35;3040;50.3
766756.14;6284774.75;0.47;0.15;33;3760;54
766758.96;6284773.28;0.44;0.12;35;3520;54.6
766761.85;6284771.72;0.45;0.13;33;3600;52.3
766764.39;6284770.45;0.5;0.23;26;4000;46.5
766767.7;6284768.63;0.62;0.36;15;4960;14.7
766769.64;6284767.58;0.43;0.27;27;3440;43.8
766773.3;6284765.7;0.42;0.14;28;3360;42.8
766774.82;6284764.87;0.47;0.13;32;3760;52.1
766778.33;6284762.99;0.49;0.16;41;3920;69.9
766779.76;6284762.15;0.25;0.06;33;2000;38
766783.74;6284760.12;0.45;0.08;33;3600;51.4
766786.57;6284758.73;0.38;0.14;43;3040;64.1
766788.79;6284757.56;0.41;0.2;39;3280;60.4
766792.25;6284755.7;0.44;0.1;46;3520;74.2
766794.71;6284754.38;0.37;0.13;23;2960;32.9
766796.59;6284753.37;0.48;0.05;39;3840;63.4
766799.15;6284752.17;0.53;0.17;17;4240;23
766800.38;6284751.46;0.54;0.06;13;4320;18.1
766800.41;6284751.45;0.26;0.06;53;2080;55.1
766800.41;6284751.45;0.64;0.44;10;5120;19.2
766800.41;6284751.45;0.25;0.07;55;2000;57.9
766800.41;6284751.45;0.62;0.43;14;4960;17
766800.41;6284751.44;0.61;0.08;14;4880;12.8
766800.48;6284751.38;0.29;0.06;30;2320;25.3
766791.4;6284750.44;0.39;0.12;47;3120;72
