X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766706.65;6284806.69;0.23;0.11;49;1840;33.3;48.8
766705.16;6284807.46;0.42;0.05;28;3360;23.8;65.6
766701.06;6284809.42;0.43;0.08;45;3440;34.3;52
766698.48;6284810.9;0.37;0.28;35;2960;29.2;60
766696.59;6284811.88;0.45;0.1;37;3600;29.8;58.4
766692.82;6284813.85;0.46;0.11;40;3680;32;56
766690.73;6284814.99;0.28;0.11;35;2240;22.7;60
766687.68;6284816.59;0.42;0.06;42;3360;31.9;54.4
766685.28;6284817.73;0.24;0.07;55;1920;33;44
766682.69;6284819.16;0.41;0.16;47;3280;36.4;50.4
766679.23;6284820.96;0.43;0.21;47;3440;37.6;50.4
766677.26;6284821.99;0.22;0.14;48;1760;32.8;49.6
766674.32;6284823.71;0.42;0.07;31;3360;25.5;63.2
766672.64;6284824.64;0.24;0.24;36;1920;27;59.2
766669.43;6284826.15;0.43;0.13;43;3440;33.6;53.6
766666.28;6284827.89;0.38;0.06;38;3040;28.7;57.6
766664.48;6284828.81;0.34;0.08;46;2720;33.2;51.2
766660.72;6284830.79;0.41;0.16;42;3280;32.9;54.4
766658.45;6284832;0.13;0.17;38;1040;25.6;57.6
766656.48;6284832.86;0.49;0.05;20;3920;21;72
766653.84;6284834.22;0.25;0.3;22;2000;20.7;70.4
766651.02;6284832.54;0.46;0.12;32;3680;27.2;62.4
766652.35;6284829.75;0.37;0.3;16;2960;15.8;83.2
766654.5;6284828.6;0.47;0.06;38;3760;30.3;57.6
766656.91;6284827.28;0.36;0.05;52;2880;37.4;46.4
766659.3;6284826;0.48;0.12;28;3840;25.4;65.6
766663.44;6284823.78;0.52;0.12;19;4160;21.5;72.8
766664.77;6284822.97;0.31;0.06;35;2480;25.8;60
766668.13;6284821.41;0.47;0.08;32;3760;27;62.4
766670.7;6284819.98;0.41;0.11;47;3280;35.7;50.4
766672.61;6284818.98;0.51;0.06;19;4080;16.8;80.8
766675.93;6284817.38;0.41;0.16;45;3280;35;52
766678.75;6284815.69;0.38;0.11;37;3040;28.6;58.4
766680.91;6284814.69;0.48;0.11;23;3840;22.8;69.6
766683.87;6284813.22;0.46;0.21;39;3680;32.6;56.8
766685.46;6284812.38;0.46;0.1;36;3680;29.3;59.2
766690.02;6284809.9;0.45;0.14;51;3600;40.1;47.2
766692.03;6284808.81;0.44;0.13;44;3520;34.5;52.8
766694.83;6284807.36;0.44;0.11;32;3520;26.8;62.4
766697.06;6284806.15;0.42;0.18;40;3360;32;56
766699.3;6284805.01;0.44;0.13;36;3520;29.3;59.2
766702.78;6284803.19;0.45;0.18;37;3600;30.7;58.4
766705.87;6284801.5;0.38;0.14;21;3040;20.7;71.2
766708.08;6284800.34;0.46;0.1;42;3680;33.2;54.4
766710.61;6284798.92;0.42;0.1;37;3360;29.2;58.4
766713.2;6284797.5;0.52;0.05;35;4160;29.3;60
766716.35;6284795.81;0.49;0.13;28;3920;25.6;65.6
766719.31;6284794.25;0.41;0.09;49;3280;36.9;48.8
766721.72;6284793.05;0.52;0.08;33;4160;28.4;61.6
766724.54;6284791.59;0.43;0.12;43;3440;33.5;53.6
766726.65;6284790.45;0.45;0.14;33;3600;27.9;61.6
766729.6;6284788.93;0.48;0.11;38;3840;31.1;57.6
766732.25;6284787.53;0.43;0.13;31;3440;26.3;63.2
766734.47;6284786.34;0.47;0.14;15;3760;19.3;76
766738.37;6284784.2;0.47;0.17;36;3760;30.3;59.2
766739.97;6284783.42;0.45;0.16;33;3600;28.1;61.6
766743.09;6284781.67;0.49;0.18;31;3920;27.8;63.2
766745.39;6284780.42;0.25;0.19;15;2000;17;76
766747.83;6284779.11;0.49;0.3;24;3920;25.2;68.8
766751.59;6284777.07;0.44;0.11;40;3520;31.6;56
766753.56;6284776.05;0.38;0.12;35;3040;27.6;60
766756.14;6284774.75;0.47;0.15;33;3760;28.3;61.6
766758.96;6284773.28;0.44;0.12;35;3520;28.6;60
766761.85;6284771.72;0.45;0.13;33;3600;27.7;61.6
766764.39;6284770.45;0.5;0.23;26;4000;25.7;67.2
766767.7;6284768.63;0.62;0.36;15;4960;13.3;96
766769.64;6284767.58;0.43;0.27;27;3440;25.6;66.4
766773.3;6284765.7;0.42;0.14;28;3360;24.6;65.6
766774.82;6284764.87;0.47;0.13;32;3760;27.5;62.4
766778.33;6284762.99;0.49;0.16;41;3920;33.9;55.2
766779.76;6284762.15;0.25;0.06;33;2000;23.8;61.6
766783.74;6284760.12;0.45;0.08;33;3600;27.2;61.6
766786.57;6284758.73;0.38;0.14;43;3040;32.7;53.6
