X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766319.29;6284535.92;0.13;0.15;24;1040;21.5;45
766319.1;6284539.65;0.12;0.12;20;960;28.4;48.2
766319.08;6284542.11;0.12;0.19;25;960;21.1;60.2
766319.13;6284545.55;0.1;0.06;9;800;10.4;81
766319.02;6284547.25;0.13;0.13;29;1040;22.6;57
766318.96;6284550.41;0.07;0.12;20;560;27.5;48.2
766318.94;6284552.57;0.16;0.16;19;1280;24.6;105
766318.84;6284556.01;0.1;0.09;16;800;25.4;51.4
766318.81;6284559.29;0.12;0.07;27;960;21;58.6
766318.64;6284562.67;0.17;0.11;18;1360;28;49.8
766318.56;6284564.66;0.12;0.12;19;960;27.8;49
766318.49;6284568.4;0.11;0.15;24;880;21.1;45
766318.47;6284571.25;0.12;0.14;21;960;29.3;47.4
766318.29;6284574.07;0.11;0.19;32;880;24.5;54.6
766318.27;6284576.51;0.13;0.1;31;1040;23.4;55.4
766318.21;6284579.28;0.09;0.09;32;720;23.2;54.6
766318.1;6284581.54;0.05;0.22;24;400;19.9;61
766318.05;6284585.33;0.11;0.13;27;880;21.4;58.6
766317.97;6284587.45;0.17;0.17;13;1360;16.4;69.8
766317.94;6284592.35;0.12;0.07;17;960;16.7;66.6
766317.83;6284594.47;0.11;0.07;16;880;25.4;51.4
766317.75;6284597.38;0.12;0.12;32;960;23.9;54.6
766317.73;6284600.1;0.1;0.16;19;800;27.9;49
766317.69;6284602.75;0.12;0.17;23;960;20.9;45.8
766317.57;6284605.98;0.11;0.14;29;880;22.4;57
766317.51;6284609.26;0.07;0.2;31;560;23.4;55.4
766317.41;6284611.27;0.19;0.18;28;1520;23.5;57.8
766317.37;6284615.15;0.08;0.27;15;640;26.4;52.2
766317.29;6284618;0.16;0.22;30;1280;24.5;56.2
766317.25;6284621.1;0.14;0.19;23;1120;20.4;61.8
766317.16;6284624.14;0.15;0.17;21;1200;19.5;63.4
766317.08;6284625.91;0.19;0.18;23;1520;21.1;61.8
766317.02;6284630.06;0.13;0.12;33;1040;24.6;53.8
766316.96;6284632.29;0.15;0.13;24;1200;20.5;61
766316.86;6284635.42;0.1;0.24;20;800;19;64.2
766316.87;6284638.3;0.13;0.22;15;1040;26.8;52.2
766316.76;6284640.83;0.11;0.21;34;880;25.7;53
766316.63;6284643.84;0.08;0.37;18;640;16.1;41.8
766311.76;6284640.84;0.33;0.2;10;2640;9.3;92.2
766311.77;6284637.32;0.09;0.18;12;720;15.2;70.6
766311.85;6284635.51;0.17;0.12;26;1360;21.7;59.4
766312;6284632.38;0.15;0.35;14;1200;18;69
766311.98;6284630.59;0.12;0.07;12;960;14.8;70.6
766311.99;6284626.78;0.16;0.14;26;1280;21.7;59.4
766312.1;6284623.72;0.11;0.1;21;880;18.4;63.4
766312.2;6284620.57;0.16;0.12;18;1280;18;65.8
766312.29;6284618.15;0.17;0.12;26;1360;21.7;59.4
766312.34;6284615.15;0.17;0.15;18;1360;18.3;65.8
766312.42;6284611.69;0.21;0.16;23;1680;21.2;61.8
766312.53;6284608.72;0.13;0.14;13;1040;12.3;77.8
766312.59;6284605.8;0.19;0.1;12;1520;15.8;70.6
766312.61;6284603.46;0.13;0.25;8;1040;9.8;86.6
766312.63;6284600.11;0.15;0.16;7;1200;14;74.6
766312.71;6284597.33;0.17;0.11;20;1360;18.8;64.2
766312.82;6284594.2;0.14;0.1;28;1120;22;57.8
766312.88;6284591.39;0.14;0.07;34;1120;24.8;53
766313.07;6284588.55;0.11;0.12;26;880;22;43.4
766313.16;6284585.49;0.17;0.12;19;1360;28.7;49
766313.3;6284581.65;0.12;0.16;28;960;24.1;41.8
766313.26;6284579.52;0.13;0.11;24;1040;21;45
766313.29;6284576.26;0.16;0.14;27;1280;24;42.6
766313.4;6284573.11;0.16;0.08;25;1280;21.9;44.2
766313.49;6284569.81;0.14;0.07;32;1120;23.7;54.6
766313.61;6284566.92;0.16;0.09;20;1280;28.8;48.2
766313.62;6284564.39;0.09;0.06;14;720;29.6;45
766313.74;6284561.65;0.14;0.07;32;1120;23.7;54.6
766313.8;6284558.64;0.13;0.1;24;1040;20.9;45
766313.94;6284556.11;0.2;0.14;34;1600;26.5;53
766313.99;6284552.47;0.14;0.12;15;1120;22;44.2
766314;6284550.23;0.14;0.15;30;1120;23.5;56.2
766314.14;6284546.65;0.13;0.1;31;1040;23.4;55.4
766314.23;6284543.8;0.11;0.09;20;880;27.9;48.2
766314.36;6284540.92;0.11;0.13;31;880;23.3;55.4
766314.41;6284536.45;0.36;0.02;19;2880;20.2;65
766314.52;6284534.49;0.19;0.15;21;1520;19.9;63.4
766314.5;6284532.04;0.12;0.15;33;960;24.7;53.8
766309.53;6284532.03;0.14;0.13;21;1120;19;63.4
766309.44;6284533.51;0.13;0.18;20;1040;18.9;64.2
766309.34;6284537.29;0.11;0.17;22;880;30;46.6
766309.27;6284539.65;0.1;0.09;18;800;22.8;41.8
766309.25;6284541.73;0.38;0.38;14;3040;17;77
766309.18;6284545.53;0.11;0.1;17;880;26.3;50.6
766309.11;6284548.24;0.19;0.07;20;1520;29.1;48.2
766309.03;6284551.79;0.15;0.13;22;1200;19.6;62.6
766308.95;6284554.17;0.12;0.11;31;960;23.3;55.4
766308.84;6284557.34;0.2;0.1;31;1600;24.5;55.4
766308.82;6284560.11;0.11;0.12;25;880;20.3;60.2
766308.75;6284562.84;0.13;0.17;23;1040;21.1;45.8
766308.65;6284565.58;0.12;0.13;18;960;27.3;49.8
766308.54;6284569.07;0.09;0.08;15;720;20.5;44.2
766308.48;6284571.97;0.16;0.12;21;1280;29.8;47.4
766308.43;6284574.5;0.14;0.08;23;1120;19.5;61.8
766308.36;6284576.9;0.15;0.09;23;1200;19.7;61.8
766308.32;6284581.07;0.15;0.11;20;1200;18.6;64.2
766308.22;6284583.01;0.1;0.07;10;800;13.9;72.2
766308.12;6284586.81;0.1;0.15;31;800;23.4;55.4
766308;6284589.57;0.08;0.15;21;640;18.4;63.4
766307.93;6284592.34;0.1;0.16;16;800;26.2;51.4
766307.88;6284595.86;0.09;0.11;26;720;21.5;43.4
766307.79;6284598.35;0.18;0.1;19;1440;28.7;49
766307.72;6284600.96;0.11;0.12;16;880;25.9;51.4
766307.6;6284604.53;0.11;0.09;23;880;29.7;45.8
766307.5;6284607.08;0.13;0.09;16;1040;25.9;51.4
766307.4;6284609.85;0.12;0.08;17;960;21.5;57.8
766307.33;6284612.76;0.2;0.08;18;1600;28.2;49.8
766307.28;6284615.55;0.12;0.1;26;960;22;43.4
766307.26;6284618.36;0.11;0.09;22;880;29.1;46.6
766307.16;6284621.46;0.13;0.09;19;1040;27.7;49
766307.09;6284624.01;0.12;0.12;18;960;27.2;49.8
