X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766894.4;6284790.58;0.18;0.18;38;1440;24.2;41.6
766895.05;6284787.64;0.24;0.17;34;1920;23.5;44.8
766895.6;6284784.89;0.43;0.17;31;3440;26.2;47.2
766896.32;6284781.61;0.18;0.16;37;1440;23.8;42.4
766896.97;6284778.73;0.18;0.19;43;1440;25.8;37.6
766897.49;6284776.08;0.17;0.19;29;1360;21.7;48.8
766898.18;6284772.88;0.24;0.17;34;1920;23.5;44.8
766898.71;6284770.08;0.25;0.2;42;2000;26.2;38.4
766899.38;6284766.78;0.25;0.24;20;2000;20.4;56
766899.86;6284764.62;0.27;0.22;14;2160;19.2;60.8
766900.61;6284761.48;0.28;0.22;18;2240;17.9;56.4
766901.16;6284758.58;0.37;0.22;16;2960;20.3;59.2
766901.7;6284755.85;0.25;0.2;24;2000;21.2;52.8
766902.32;6284753.06;0.26;0.23;15;2080;19.4;60
766903.17;6284748.92;0.28;0.22;10;2240;18.5;64
766903.55;6284747.14;0.23;0.18;12;1840;18.4;62.4
766904.24;6284743.64;0.25;0.2;18;2000;19.8;57.6
766904.79;6284740.96;0.14;0.22;23;1120;20.3;53.6
766905.48;6284738.18;0.35;0.22;29;2800;23.3;48.8
766906.04;6284735.49;0.3;0.22;30;2400;23.2;48
766910.88;6284736.6;0.2;0.19;30;1600;22.2;48
766910.26;6284739.63;0.27;0.17;35;2160;24.1;44
766909.68;6284742.3;0.21;0.24;16;1680;19.3;59.2
766909.05;6284745.4;0.24;0.25;11;1920;18.5;63.2
766908.42;6284748.23;0.05;0.27;28;400;21;49.6
766907.83;6284751.26;0.24;0.21;23;1920;20.9;53.6
766907.23;6284753.97;0.22;0.17;16;1760;19.1;59.2
766906.57;6284757.07;0.19;0.23;29;1520;22.1;48.8
766905.85;6284760.42;0.26;0.18;10;2080;18.2;64
766905.36;6284762.75;0.28;0.27;28;2240;22.7;49.6
766904.63;6284765.78;0.26;0.24;22;2080;20.9;54.4
766904.1;6284768.57;0.33;0.23;25;2640;22.2;52
766903.5;6284771.38;0.17;0.21;21;1360;20;55.2
766902.95;6284774.07;0.24;0.22;53;1920;30.3;29.6
766902.35;6284777.2;0.19;0.23;11;1520;18.2;63.2
766901.73;6284780.02;0.19;0.18;36;1520;23.7;43.2
766901.1;6284783.24;0.06;0.16;43;480;24.5;37.6
766900.53;6284786.02;0.4;0.16;30;3200;23.7;48
766899.93;6284788.78;0.15;0.17;44;1200;25.7;36.8
766899.32;6284791.87;0.43;0.15;14;3440;19.9;60.8
766898.78;6284794.48;0.19;0.17;40;1520;24.8;40
766897.94;6284798.03;0.18;0.08;34;1440;16.5;58.8
766897.46;6284800.43;0.42;0.18;36;3360;18.4;57.2
766896.75;6284803.63;0.21;0.15;39;1680;24.6;40.8
766896.09;6284806.64;0.48;0.17;13;3840;20.1;61.6
766895.53;6284809.07;0.17;0.17;35;1360;23.2;44
766894.96;6284812.08;0.23;0.2;45;1840;27;36
766894.37;6284814.86;0.28;0.15;25;2240;21.4;52
766893.7;6284817.82;0.28;0.16;23;2240;21;53.6
766893.09;6284820.55;0.1;0.17;31;800;21.6;47.2
766892.67;6284822.57;0.17;0.13;25;1360;20.5;52
766897.79;6284823.83;0.22;0.19;31;1760;22.6;47.2
766898.3;6284821.25;0.02;0.23;26;160;20.2;51.2
766898.9;6284818.39;0.33;0.2;23;2640;21.5;53.6
766899.5;6284815.47;0.25;0.23;10;2000;18.3;64
766900.17;6284812.74;0.18;0.2;38;1440;24.3;41.6
766900.88;6284809.49;0.2;0.2;30;1600;22.3;48
766901.57;6284806.44;0.22;0.24;12;1760;18.6;62.4
766902.2;6284803.65;0.27;0.24;20;2160;20.6;56
766902.67;6284801.22;0.22;0.19;44;1760;26.5;36.8
766903.35;6284797.85;0.16;0.23;39;1280;24.6;40.8
766903.93;6284795.08;0.24;0.2;47;1920;27.8;34.4
766904.47;6284792.02;0.27;0.27;29;2160;17.9;57.2
766905.08;6284789.25;0.25;0.17;43;2000;26.4;37.6
766905.68;6284785.95;0.25;0.18;40;2000;25.5;40
766906.27;6284783.23;0.13;0.24;24;1040;20.5;52.8
766906.92;6284779.85;0.16;0.18;21;1280;19.8;55.2
766907.48;6284776.92;0.3;0.22;20;2400;20.7;56
766908.04;6284774.46;0.11;0.2;44;880;25.5;36.8
766908.79;6284771.17;0.25;0.23;31;2000;23.1;47.2
766909.21;6284768.91;0.22;0.25;37;1760;17.7;56.4
766909.86;6284766.03;0.15;0.26;43;1200;25.9;37.6
766910.39;6284763.4;0.16;0.23;26;1280;17.5;55.6
766911.11;6284759.92;0.15;0.22;12;1200;18.1;62.4
766911.75;6284756.91;0.27;0.21;24;2160;21.4;52.8
766912.4;6284753.78;0.29;0.27;17;2320;20.1;58.4
766913.1;6284750.79;0.24;0.22;28;1920;22.2;49.6
766913.78;6284748.01;0.14;0.15;14;1120;18.2;60.8
766914.38;6284744.86;0.22;0.22;27;1760;21.8;50.4
766914.99;6284741.65;0.29;0.17;21;2320;20.6;55.2
766915.63;6284738.42;0.12;0.17;10;960;17.4;64
766916.05;6284736.47;0.12;0.21;16;960;18.7;59.2
766916.9;6284732.88;0.13;0.2;21;1040;19.7;55.2
766920.48;6284732.36;0.2;0.2;14;1600;16.9;58.8
766921.25;6284734.91;0.17;0.23;23;1360;20.5;53.6
766920.64;6284738.04;0.33;0.26;15;2640;18;58
766920.28;6284740.08;0.12;0.19;21;960;15.9;52
766919.77;6284743.02;0.18;0.11;23;1440;17.4;64.8
766919.15;6284746.16;0.18;0.23;19;1440;19.7;56.8
766918.26;6284749.94;0.16;0.21;13;1280;18.3;61.6
766917.7;6284752.56;0.11;0.28;12;880;18.1;62.4
766917.02;6284755.63;0.21;0.25;41;1680;25.8;39.2
766916.37;6284758.78;0.19;0.18;18;1520;19.4;57.6
766915.85;6284761.28;0.16;0.22;37;1280;24;42.4
766915.32;6284764;0.19;0.24;27;1520;21.6;50.4
766914.46;6284767.87;0.19;0.27;19;1520;18;64.8
766914.09;6284769.8;0.25;0.2;13;2000;17;59.6
766913.4;6284772.83;0.34;0.21;32;2720;24;46.4
766912.84;6284775.85;0.29;0.2;28;2320;22.5;49.6
766912.17;6284778.84;0.23;0.23;24;1840;16.2;53.6
766911.73;6284781.22;0.23;0.22;23;1840;20.9;53.6
766911.11;6284784.02;0.21;0.18;22;1680;20.3;54.4
766910.51;6284787.01;0.15;0.18;39;1200;24.2;40.8
766909.91;6284789.75;0.26;0.18;36;2080;24.3;43.2
766909.3;6284792.81;0.18;0.2;17;1440;19.2;58.4
766908.86;6284795.38;0.2;0.16;36;1600;23.7;43.2
766908.23;6284798.33;0.16;0.2;25;1280;16.9;58
766907.45;6284801.29;0.23;0.19;32;1840;23;46.4
766906.82;6284804.25;0.24;0.2;25;1920;21.3;52
766906.18;6284807.24;0.16;0.18;20;1280;19.6;56
766905.54;6284810.26;0.3;0.17;32;2400;23.5;46.4
766905.03;6284812.79;0.15;0.17;26;1200;15.9;72.8
766904.32;6284816.07;0.22;0.21;35;1760;23.9;44
766903.71;6284819.15;0.25;0.17;38;2000;24.8;41.6
766903.15;6284821.93;0.14;0.17;23;1120;20.1;53.6
766902.69;6284824.51;0.16;0.21;33;1280;22.8;45.6
766896.33;6284765.89;0.39;0.21;33;3120;26.8;46.6
766896.1;6284768.08;0.3;0.28;31;2400;25.1;48.2
766895.66;6284771.03;0.27;0.22;25;2160;21.5;53
766895.2;6284773.68;0.41;0.22;25;3280;24.7;53
766894.63;6284776.63;0.34;0.2;30;2720;24.5;49
766894.02;6284779.54;0.42;0.17;27;3360;24;51.4
766893.51;6284782.12;0.37;0.14;30;2960;24.4;49
766892.89;6284785.08;0.32;0.17;40;2560;29.1;41
766892.25;6284787.87;0.22;0.18;42;1760;28.6;39.4
766891.74;6284790.48;0.29;0.19;37;2320;27.2;43.4
766891.09;6284793.85;0.35;0.17;29;2800;23.9;49.8
766890.56;6284796.54;0.46;0.17;31;3680;26.5;48.2
766889.91;6284799.44;0.34;0.18;34;2720;26.3;45.8
766889.27;6284802.38;0.43;0.17;27;3440;24.1;51.4
766888.62;6284805.35;0.31;0.16;30;2480;23.7;49
766888.04;6284808.04;0.36;0.16;32;2880;25.4;47.4
766887.46;6284811.04;0.44;0.19;31;3520;26.4;48.2
766886.83;6284814.08;0.33;0.22;33;2640;26;46.6
766886.2;6284816.9;0.42;0.16;36;3360;28.4;44.2
766885.69;6284819.56;0.35;0.19;32;2800;25.5;47.4
766885.93;6284822.13;0.48;0.43;39;3840;34.4;41.8
766890.21;6284822.25;0.41;0.22;34;3280;27.8;45.8
766891.02;6284818.98;0.35;0.18;28;2800;15.8;66.6
766891.5;6284816.86;0.37;0.19;35;2960;27.4;45
766892.08;6284813.86;0.37;0.19;29;2960;24.4;49.8
766892.7;6284811.01;0.3;0.18;34;2400;25.7;45.8
766893.36;6284807.87;0.43;0.2;29;3440;25.3;49.8
766893.95;6284804.84;0.23;0.21;33;1840;24.4;46.6
766894.53;6284802.12;0.39;0.19;32;3120;26.1;47.4
766895.16;6284798.95;0.36;0.17;32;2880;25.5;47.4
766895.88;6284795.89;0.32;0.19;34;2560;26.1;45.8
766896.52;6284792.76;0.39;0.14;33;3120;26.2;46.6
766897.09;6284789.89;0.29;0.21;37;2320;27.4;43.4
766897.71;6284787.14;0.34;0.19;35;2720;26.9;45
766898.35;6284783.94;0.41;0.16;36;3280;28.3;44.2
766898.95;6284781.27;0.33;0.2;36;2640;27.4;44.2
766899.63;6284778.21;0.41;0.2;32;3280;26.5;47.4
766900.25;6284775.21;0.29;0.2;31;2320;24.3;48.2
766900.79;6284772.38;0.25;0.24;31;2000;24;48.2
766901.37;6284769.39;0.44;0.24;29;3520;25.9;49.8
766902.02;6284766.43;0.22;0.27;29;1760;23;49.8
766902.58;6284764.01;0.23;0.23;36;1840;26.1;44.2
766903.2;6284761.16;0.25;0.23;27;2000;22.1;51.4
766903.8;6284758.04;0.24;0.25;26;1920;21.7;52.2
766904.56;6284754.53;0.22;0.25;27;1760;21.9;51.4
766905.06;6284752.07;0.19;0.28;39;1520;27.5;41.8
766905.69;6284749.1;0.2;0.25;44;1600;30.2;37.8
766906.1;6284747.07;0.18;0.23;32;1440;23.4;47.4
766906.93;6284742.88;0.21;0.24;27;1680;21.7;51.4
766907.42;6284740.7;0.43;0.21;22;3440;22.2;55.4
