X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766900.88;6284809.49;0.2;0.2;30;1600;32.8
766901.57;6284806.44;0.22;0.24;12;1760;29.1
766902.2;6284803.65;0.27;0.24;20;2160;31.5
766902.67;6284801.22;0.22;0.19;44;1760;36.7
766903.35;6284797.85;0.16;0.23;39;1280;34.7
766903.93;6284795.08;0.24;0.2;47;1920;37.9
766904.47;6284792.02;0.27;0.27;29;2160;28.5
766905.08;6284789.25;0.25;0.17;43;2000;36.8
766905.68;6284785.95;0.25;0.18;40;2000;36
766906.27;6284783.23;0.13;0.24;24;1040;30.7
766906.92;6284779.85;0.16;0.18;21;1280;30.1
766907.48;6284776.92;0.3;0.22;20;2400;31.8
766908.04;6284774.46;0.11;0.2;44;880;35.1
766908.79;6284771.17;0.25;0.23;31;2000;33.9
766909.21;6284768.91;0.22;0.25;37;1760;28.1
766909.86;6284766.03;0.15;0.26;43;1200;35.7
766910.39;6284763.4;0.16;0.23;26;1280;27.5
766911.11;6284759.92;0.15;0.22;12;1200;28.2
766911.75;6284756.91;0.27;0.21;24;2160;32.4
766912.4;6284753.78;0.29;0.27;17;2320;31.2
766913.1;6284750.79;0.24;0.22;28;1920;33
766913.78;6284748.01;0.14;0.15;14;1120;28.2
766914.38;6284744.86;0.22;0.22;27;1760;32.4
766914.99;6284741.65;0.29;0.17;21;2320;31.7
766915.63;6284738.42;0.12;0.17;10;960;27.2
766916.05;6284736.47;0.12;0.21;16;960;28.6
766916.9;6284732.88;0.13;0.2;21;1040;29.8
766920.48;6284732.36;0.2;0.2;14;1600;27
766921.25;6284734.91;0.17;0.23;23;1360;30.9
766920.64;6284738.04;0.33;0.26;15;2640;29.3
766920.28;6284740.08;0.12;0.19;21;960;25.3
766919.77;6284743.02;0.18;0.11;23;1440;27.5
766919.15;6284746.16;0.18;0.23;19;1440;30.1
766918.26;6284749.94;0.16;0.21;13;1280;28.5
766917.7;6284752.56;0.11;0.28;12;880;28
766917.02;6284755.63;0.21;0.25;41;1680;36
766916.37;6284758.78;0.19;0.18;18;1520;29.8
766915.85;6284761.28;0.16;0.22;37;1280;34.1
766915.32;6284764;0.19;0.24;27;1520;32.1
766914.46;6284767.87;0.19;0.27;19;1520;28.2
766914.09;6284769.8;0.25;0.2;13;2000;27.4
766913.4;6284772.83;0.34;0.21;32;2720;35.4
766912.84;6284775.85;0.29;0.2;28;2320;33.6
766912.17;6284778.84;0.23;0.23;24;1840;26.3
766911.73;6284781.22;0.23;0.22;23;1840;31.6
766911.11;6284784.02;0.21;0.18;22;1680;31
766910.51;6284787.01;0.15;0.18;39;1200;34.3
766909.91;6284789.75;0.26;0.18;36;2080;35.1
766909.3;6284792.81;0.18;0.2;17;1440;29.5
766908.86;6284795.38;0.2;0.16;36;1600;34.1
766908.23;6284798.33;0.16;0.2;25;1280;26.8
766907.45;6284801.29;0.23;0.19;32;1840;33.7
766906.82;6284804.25;0.24;0.2;25;1920;32.1
766906.18;6284807.24;0.16;0.18;20;1280;29.9
766905.54;6284810.26;0.3;0.17;32;2400;34.6
766905.03;6284812.79;0.15;0.17;26;1200;25.4
766904.32;6284816.07;0.22;0.21;35;1760;34.4
766903.71;6284819.15;0.25;0.17;38;2000;35.4
766903.15;6284821.93;0.14;0.17;23;1120;30.2
766902.69;6284824.51;0.16;0.21;33;1280;33.1
766896.33;6284765.89;0.39;0.21;33;3120;36.1
766896.1;6284768.08;0.3;0.28;31;2400;33.6
766895.66;6284771.03;0.27;0.22;25;2160;30.8
766895.2;6284773.68;0.41;0.22;25;3280;35.1
766894.63;6284776.63;0.34;0.2;30;2720;33.5
766894.02;6284779.54;0.42;0.17;27;3360;33.8
766893.51;6284782.12;0.37;0.14;30;2960;33.7
766892.89;6284785.08;0.32;0.17;40;2560;39.4
766892.25;6284787.87;0.22;0.18;42;1760;37.7
766891.74;6284790.48;0.29;0.19;37;2320;36
766891.09;6284793.85;0.35;0.17;29;2800;33.2
766890.56;6284796.54;0.46;0.17;31;3680;36.5
766889.91;6284799.44;0.34;0.18;34;2720;35.1
766889.27;6284802.38;0.43;0.17;27;3440;34
766888.62;6284805.35;0.31;0.16;30;2480;32.7
766888.04;6284808.04;0.36;0.16;32;2880;34.3
766887.46;6284811.04;0.44;0.19;31;3520;36
766886.83;6284814.08;0.33;0.22;33;2640;34.5
766886.2;6284816.9;0.42;0.16;36;3360;39.3
766885.69;6284819.56;0.35;0.19;32;2800;34.3
766885.93;6284822.13;0.48;0.43;39;3840;46.3
766890.21;6284822.25;0.41;0.22;34;3280;37.6
766891.02;6284818.98;0.35;0.18;28;2800;27
766891.5;6284816.86;0.37;0.19;35;2960;37
766892.08;6284813.86;0.37;0.19;29;2960;33.7
766892.7;6284811.01;0.3;0.18;34;2400;34
766893.36;6284807.87;0.43;0.2;29;3440;34.9
766893.95;6284804.84;0.23;0.21;33;1840;32.6
766894.53;6284802.12;0.39;0.19;32;3120;35.2
766895.16;6284798.95;0.36;0.17;32;2880;34.4
766895.88;6284795.89;0.32;0.19;34;2560;34.5
766896.52;6284792.76;0.39;0.14;33;3120;35.7
766897.09;6284789.89;0.29;0.21;37;2320;36.1
766897.71;6284787.14;0.34;0.19;35;2720;36
766898.35;6284783.94;0.41;0.16;36;3280;39
766898.95;6284781.27;0.33;0.2;36;2640;36.5
766899.63;6284778.21;0.41;0.2;32;3280;35.9
766900.25;6284775.21;0.29;0.2;31;2320;32.9
766900.79;6284772.38;0.25;0.24;31;2000;32.5
766901.37;6284769.39;0.44;0.24;29;3520;35.3
766902.02;6284766.43;0.22;0.27;29;1760;31.5
766902.58;6284764.01;0.23;0.23;36;1840;33.7
766903.2;6284761.16;0.25;0.23;27;2000;31.2
766903.8;6284758.04;0.24;0.25;26;1920;30.8
766904.56;6284754.53;0.22;0.25;27;1760;30.8
766905.06;6284752.07;0.19;0.28;39;1520;34.8
766905.69;6284749.1;0.2;0.25;44;1600;39.2
766906.1;6284747.07;0.18;0.23;32;1440;31.5
766906.93;6284742.88;0.21;0.24;27;1680;30.6
766907.42;6284740.7;0.43;0.21;22;3440;32.6
766908.1;6284737.91;0.36;0.15;21;2880;30.7
766911.8;6284736.03;0.38;0.22;15;3040;33.3
766913.17;6284737.94;0.22;0.23;24;1760;29.8
766912.58;6284740.82;0.28;0.26;23;2240;30.6
766911.93;6284743.87;0.22;0.25;30;1760;31.7
766911.24;6284747.03;0.27;0.23;23;2160;30.3
766910.77;6284749.28;0.21;0.29;27;1680;30.8
766910.06;6284752.75;0.2;0.21;33;1600;32.1
766909.43;6284755.64;0.24;0.25;31;1920;32.4
766908.79;6284758.52;0.21;0.26;38;1680;34.6
766908.22;6284761.33;0.31;0.23;32;2480;33.8
766907.52;6284764.33;0.3;0.23;29;2400;32.7
766906.91;6284767.19;0.17;0.26;13;1360;26
766906.32;6284770.09;0.4;0.29;28;3200;28.4
766905.67;6284773.23;0.25;0.3;37;2000;35.3
766905.2;6284775.77;0.37;0.25;42;2960;43.6
766904.55;6284778.79;0.4;0.19;35;3200;38
766904.01;6284781.36;0.3;0.24;43;2400;41.8
766903.42;6284784.41;0.22;0.19;47;1760;42.2
766902.88;6284786.98;0.15;0.28;16;1200;26.6
766902.19;6284790.23;0.2;0.18;41;1600;36.2
766901.59;6284793.25;0.22;0.21;45;1760;40.5
766901.09;6284795.65;0.34;0.28;44;2720;44.6
766900.32;6284798.83;0.32;0.28;42;2560;41.9
766899.76;6284801.74;0.14;0.48;22;1120;29.3
766898.9;6284805.48;0.31;0.24;35;2480;35.3
766898.33;6284807.99;0.33;0.18;31;2640;33.5
766897.76;6284810.62;0.24;0.31;30;1920;32.4
766897.24;6284813.44;0.3;0.22;35;2400;34.8
766896.6;6284816.27;0.29;0.19;39;2320;37.6
766895.94;6284819.3;0.3;0.18;36;2400;35.4
766895.4;6284821.72;0.26;0.18;30;2080;32
766897.38;6284825.24;0.32;0.21;29;2560;32.9
766900.35;6284823.69;0.32;0.19;33;2560;34.1
766900.96;6284820.7;0.18;0.16;29;1440;30.2
766901.55;6284817.84;0.31;0.14;26;2480;31.4
766902.18;6284815.05;0.25;0.17;25;2000;30.2
766902.87;6284812.12;0.21;0.16;17;1680;27.2
766903.49;6284809.28;0.25;0.14;29;2000;31.3
766904.16;6284806.32;0.23;0.14;27;1840;30.3
766904.82;6284803.34;0.25;0.15;41;2000;37.7
766905.48;6284799.95;0.28;0.14;50;2240;47.1
766906.03;6284797.24;0.2;0.15;48;1600;42.2
