X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766721.09;6284799.25;1.15;0.37;70;9200;74.7;30.2
766718.38;6284800.66;1.31;0.25;81;10480;98.4;21.4
766715.74;6284801.97;1.3;0.42;76;10400;96;25.4
766713.32;6284803.11;1.21;0.35;75;9680;84.4;26.2
766710.34;6284804.83;1.26;0.28;72;10080;83.9;28.6
766708.1;6284805.97;1.62;0.42;78;12960;138.4;23.8
766705.19;6284807.6;0.92;0.52;59;7360;53.1;39
766702.72;6284808.89;1.38;0.47;68;11040;95.7;31.8
766700.29;6284810.18;1.25;0.37;79;10000;93.2;23
766697.85;6284811.42;1.33;0.26;79;10640;98.3;23
766695.53;6284812.64;1.26;0.26;83;10080;96;19.8
766692.84;6284814.06;1.09;0.3;79;8720;77;23
766689.67;6284815.73;1.08;0.39;69;8640;68.9;31
766687.92;6284816.65;1.08;0.41;73;8640;73;27.8
766684.58;6284818.39;1.24;0.28;63;9920;73.1;35.8
766682.8;6284819.36;1.21;0.26;73;9680;80.1;27.8
766680.4;6284820.55;1.2;0.25;73;9600;79;27.8
766677.4;6284822.06;1.09;0.46;62;8720;65;36.6
766674.97;6284823.43;1.14;0.31;75;9120;77.5;26.2
766672.52;6284824.81;1.19;0.37;67;9520;75;32.6
766670.06;6284826.02;1.1;0.56;74;8800;78.9;27
766667.4;6284827.44;1.19;0.51;67;9520;78.2;32.6
766665.15;6284828.67;1.11;0.6;73;8880;79.6;27.8
766661.82;6284830.43;1.07;0.24;74;8560;69.5;27
766659.91;6284831.45;0.85;0.28;73;6800;58.7;27.8
766657.37;6284832.63;1.01;0.39;71;8080;65.6;29.4
766654.62;6284833.99;1.05;0.47;66;8400;65.8;33.4
766652.24;6284833.95;1.57;0.53;74;12560;128.8;27
766651.31;6284830.4;0.95;0.38;57;7600;51.3;40.6
766653.97;6284828.95;1.16;0.3;66;9280;70.3;33.4
766656.97;6284827.26;1.33;0.28;69;10640;86.9;31
766659.37;6284826.01;1.16;0.39;71;9280;76.9;29.4
766662.06;6284824.46;1.19;0.32;70;9520;76.7;30.2
766664.42;6284823.25;1.56;0.41;76;12480;126.1;25.4
766667.66;6284821.6;1.1;0.35;61;8800;62.8;37.4
766669.68;6284820.52;1.14;0.31;73;9120;75.5;27.8
766672.36;6284819.21;1.27;0.39;71;10160;86.5;29.4
766674.92;6284817.89;1.34;0.36;80;10720;103.6;22.2
766677.67;6284816.48;1.11;0.34;71;8880;71.9;29.4
766680.18;6284815.13;1.28;0.33;73;10240;88;27.8
766682.82;6284813.75;1.16;0.39;75;9280;80.9;26.2
766684.96;6284812.64;1.38;0.32;72;11040;96.3;28.6
766688.47;6284810.75;1.04;0.21;59;8320;55.1;39
766690.27;6284809.8;1.11;0.48;62;8880;66.7;36.6
766692.5;6284808.67;1.4;0.41;79;11200;110.5;23
766695.07;6284807.29;1.51;0.3;79;12080;120.4;23
766697.7;6284805.9;1.45;0.31;76;11600;108.9;25.4
766700.61;6284804.36;1.37;0.39;71;10960;96.2;29.4
766702.52;6284803.45;1.14;0.31;79;9120;81.5;23
766705.32;6284801.93;0.95;0.28;63;7600;53.8;35.8
766707.53;6284800.8;1.23;0.35;79;9840;90.7;23
766709.79;6284799.52;1.24;0.27;71;9920;80.8;29.4
766712.09;6284798.23;1.18;0.36;68;9440;74.9;31.8
766714.4;6284796.89;1.03;0.28;68;8240;62.4;31.8
766716.82;6284795.67;1.16;0.3;73;9280;76.8;27.8
766719.71;6284794.24;1.2;0.38;70;9600;79;30.2
766722.35;6284792.91;1.36;0.29;76;10880;98.4;25.4
766724.6;6284791.7;1.07;0.5;72;8560;73.1;28.6
766727.45;6284790.21;1.08;0.35;73;8640;71.6;27.8
766729.98;6284788.91;1.25;0.29;78;10000;89.9;23.8
766732.58;6284787.53;1.11;0.29;73;8880;72.7;27.8
766734.74;6284786.35;0.93;0.32;55;7440;48.1;42.2
766737.73;6284784.64;1.09;0.23;76;8720;72.6;25.4
766740.1;6284783.44;1.27;0.49;70;10160;87.9;30.2
766742.83;6284781.97;1.15;0.46;67;9200;73.8;32.6
766745.17;6284780.7;1.48;0.35;73;11840;109.5;27.8
766747.77;6284779.24;1.12;0.3;70;8960;70.9;30.2
766750.84;6284777.61;1.42;0.34;68;11360;96;31.8
766753.04;6284776.42;1.5;0.37;79;12000;121.7;23
766755.45;6284775.16;0.99;0.33;63;7920;57;35.8
766758.47;6284773.57;1.11;0.34;74;8880;74.7;27
766760.95;6284772.31;1.57;0.38;78;12560;129.6;23.8
766763.23;6284771.12;1.28;0.25;69;10240;81.7;31
766765.74;6284769.76;1;0.34;65;8000;59.2;34.2
766769.13;6284767.95;1.28;0.3;67;10240;80.8;32.6
766771.05;6284766.93;1.22;0.4;81;9760;93.5;21.4
766773.66;6284765.46;1.5;0.39;72;12000;111.8;28.6
766776.18;6284764.1;1.14;0.4;71;9120;75.6;29.4
766779.08;6284762.57;1.2;0.29;81;9600;88.6;21.4
766781.43;6284761.37;1.29;0.31;73;10320;88.4;27.8
766784.43;6284759.84;1.22;0.42;74;9760;86;27
766786.75;6284758.67;1.12;0.32;82;8960;83.2;20.6
766789.24;6284757.32;1.41;0.41;76;11280;107.5;25.4
766791.86;6284755.95;1.16;0.32;78;9280;82.4;23.8
766794.45;6284754.61;1.05;0.32;71;8400;67;29.4
766797.12;6284753.19;1.3;0.33;76;10400;93.5;25.4
766799.5;6284751.97;1.36;0.36;79;10880;104.5;23
766801.35;6284751;1.15;0.52;86;9200;95.9;17.4
766792.4;6284750.13;0.84;0.49;76;6720;66.2;25.4
766790.13;6284751.25;1.16;0.44;79;9280;86.5;23
766787.8;6284752.45;1.24;0.34;68;9920;79.4;31.8
766785.28;6284753.83;1.11;0.54;79;8880;84.5;23
766782.87;6284755.09;1.19;0.47;84;9520;96;19
766780.33;6284756.58;1.29;0.51;81;10320;103.9;21.4
766777.56;6284758.04;1.09;0.48;68;8720;70.5;31.8
766775.86;6284758.98;1.5;0.33;66;12000;101.6;33.4
766772.39;6284760.7;1.26;0.3;67;10080;79.1;32.6
