X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766311.68;6284614.84;1.06;0.41;91;8480;82.5;12.8
766311.75;6284611.83;1.11;0.62;93;8880;94.4;11.2
766311.83;6284609.08;1.17;0.47;89;9360;90.5;14.4
766311.93;6284606.06;1.14;0.54;94;9120;95.4;10.4
766311.97;6284603.42;1.31;0.42;84;10480;97;18.4
766312;6284600.27;1.28;0.55;89;10240;104.1;14.4
766312.1;6284597.55;1.21;0.51;92;9680;99.2;12
766312.16;6284594.54;1.15;0.55;94;9200;96.7;10.4
766312.2;6284591.63;1.2;0.53;94;9600;101.5;10.4
766312.34;6284588.89;1.07;0.53;93;8560;89.6;11.2
766312.38;6284585.86;1.09;0.61;96;8720;98.2;8.8
766312.52;6284582.87;1.25;0.48;86;10000;95.1;16.8
766312.51;6284579.98;1.16;0.55;94;9280;97.8;10.4
766312.62;6284577.32;1.06;0.58;91;8480;87.4;12.8
766312.69;6284574.48;1.09;0.58;92;8720;90.5;12
766312.76;6284571.68;1.14;0.63;50;9120;56.9;45.6
766312.82;6284568.73;1.17;0.66;90;9360;97;13.6
766312.92;6284565.64;1.12;0.58;95;8960;97.1;9.6
766312.99;6284563.12;1.13;0.52;88;9040;86.9;15.2
766313.12;6284559.65;1.26;0.52;88;10080;99.7;15.2
766313.19;6284557.28;1.26;0.62;90;10080;105.4;13.6
766313.33;6284553.96;1.18;0.53;82;9440;85.1;20
766313.32;6284551.39;1.07;0.48;91;8560;84.9;12.8
766313.4;6284548.69;1.26;0.46;91;10080;101.8;12.8
766313.46;6284545.82;1.24;0.44;94;9920;103;10.4
766313.52;6284543.16;1.08;0.57;94;8640;93;10.4
766313.59;6284540.5;1.23;0.54;83;9840;91.2;19.2
766313.74;6284536.86;1.25;0.51;70;10000;78.2;29.6
766313.81;6284534.56;1.39;0.57;91;11120;120.7;12.8
766313.88;6284531.86;1.11;0.65;88;8880;88.4;15.2
766309.09;6284531.8;1.13;0.53;84;9040;82.8;18.4
766309.03;6284533.44;1.14;0.67;84;9120;87.3;18.4
766309.02;6284537.23;1.06;0.5;83;8480;75.2;19.2
766308.94;6284539.63;1.08;0.52;89;8640;83.5;14.4
766308.84;6284543.53;1.19;0.63;66;9520;72.2;32.8
766308.85;6284545.39;1.07;0.51;90;8560;84.3;13.6
766308.79;6284548.22;1.1;0.57;84;8800;81.2;18.4
766308.68;6284551.56;1.14;0.53;90;9120;90.3;13.6
766308.58;6284554.6;1.13;0.55;93;9040;93.5;11.2
766308.49;6284557.39;1.16;0.57;93;9280;97.1;11.2
766308.47;6284560.68;1.39;0.48;80;11120;102.2;21.6
766308.41;6284563.26;0.98;0.54;93;7840;85.5;11.2
766308.32;6284565.74;1.19;0.58;59;9520;65;38.4
766308.23;6284569.14;1.1;0.57;85;8800;82.2;17.6
766308.12;6284571.96;1.07;0.55;95;8560;93.5;9.6
766308.03;6284574.91;1.02;0.38;96;8160;87.4;8.8
766307.95;6284577.65;1.18;0.54;82;9440;85.4;20
766307.95;6284580.72;1.02;0.51;88;8160;79.1;15.2
766307.84;6284583.17;1.15;0.51;80;9200;79.9;21.6
766307.78;6284586.41;1.29;0.45;73;10320;83.2;27.2
766307.69;6284589.59;1.13;0.43;78;9040;74.4;23.2
766307.71;6284592.28;1.1;0.55;94;8800;93.3;10.4
766307.62;6284595.34;1.22;0.56;89;9760;97.9;14.4
766307.55;6284598.26;1.17;0.61;96;9360;103.2;8.8
766307.46;6284601.11;1.12;0.62;88;8960;88.6;15.2
766307.33;6284604.45;0.99;0.39;85;7920;70.7;17.6
766307.19;6284607.13;1.13;0.49;92;9040;90.7;12
766307.05;6284610.19;1.27;0.46;66;10160;74.7;32.8
766307.01;6284612.84;1.13;0.45;94;9040;92;10.4
766306.97;6284615.64;1.09;0.6;96;8720;97.9;8.8
766306.9;6284618.4;1.25;0.47;95;10000;106.4;9.6
766306.82;6284621.59;1.1;0.52;93;8800;90.7;11.2
766306.81;6284624.29;1.17;0.47;90;9360;91.7;13.6
766306.78;6284627.46;1.2;0.53;91;9600;97.6;12.8
766306.71;6284630.21;1.18;0.45;94;9440;97;10.4
766306.61;6284633.19;1.15;0.43;90;9200;88.7;13.6
766306.59;6284636.07;1.39;0.46;94;11120;121.4;10.4
766306.49;6284638.59;1.22;0.55;85;9760;92.9;17.6
766306.38;6284641.14;0.94;0.56;82;7520;69.1;20
766300.92;6284640.22;1.3;0.66;88;10400;108.5;15.2
766301.27;6284638.06;1.22;0.41;94;9760;99.9;10.4
766301.39;6284635.26;1.23;0.45;89;9840;95.9;14.4
766301.47;6284632.3;1.13;0.48;93;9040;91.6;11.2
766301.56;6284629.41;1.13;0.45;95;9040;93.4;9.6
766301.64;6284626.38;1.14;0.61;72;9120;73.4;28
766301.66;6284623.74;1.09;0.53;93;8720;90.5;11.2
766301.77;6284620.88;1.14;0.55;90;9120;90.9;13.6
766301.77;6284617.96;1.19;0.47;90;9520;93.6;13.6
766301.88;6284615.2;1.22;0.46;77;9760;81.6;24
766301.96;6284612.25;1.29;0.41;88;10320;99.7;15.2
766302.02;6284609.41;1.23;0.42;84;9840;89.1;18.4
766302.06;6284606.79;0.98;0.45;65;7840;54.1;33.6
766302.15;6284603.66;1.24;0.66;92;9920;107.1;12
766302.2;6284600.83;1.17;0.55;93;9360;97.6;11.2
766302.22;6284598.23;1.23;0.51;87;9840;95.1;16
766302.25;6284595;1.2;0.42;78;9600;80;23.2
766302.35;6284592.25;1.13;0.51;94;9040;93.6;10.4
766302.41;6284589.43;1.16;0.57;81;9280;83.2;20.8
