X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766687.92;6284816.65;1.08;0.41;73;8640;175.8
766684.58;6284818.39;1.24;0.28;63;9920;163.7
766682.8;6284819.36;1.21;0.26;73;9680;189.3
766680.4;6284820.55;1.2;0.25;73;9600;187.5
766677.4;6284822.06;1.09;0.46;62;8720;147.8
766674.97;6284823.43;1.14;0.31;75;9120;187.5
766672.52;6284824.81;1.19;0.37;67;9520;171.2
766670.06;6284826.02;1.1;0.56;74;8800;186.3
766667.4;6284827.44;1.19;0.51;67;9520;175.3
766665.15;6284828.67;1.11;0.6;73;8880;185.7
766661.82;6284830.43;1.07;0.24;74;8560;172.2
766659.91;6284831.45;0.85;0.28;73;6800;143.5
766657.37;6284832.63;1.01;0.39;71;8080;160.1
766654.62;6284833.99;1.05;0.47;66;8400;153.5
766652.24;6284833.95;1.57;0.53;74;12560;268.1
766651.31;6284830.4;0.95;0.38;57;7600;119.7
766653.97;6284828.95;1.16;0.3;66;9280;162.8
766656.97;6284827.26;1.33;0.28;69;10640;194.9
766659.37;6284826.01;1.16;0.39;71;9280;180.1
766662.06;6284824.46;1.19;0.32;70;9520;179
766664.42;6284823.25;1.56;0.41;76;12480;269.3
766667.66;6284821.6;1.1;0.35;61;8800;143.5
766669.68;6284820.52;1.14;0.31;73;9120;181.2
766672.36;6284819.21;1.27;0.39;71;10160;196.2
766674.92;6284817.89;1.34;0.36;80;10720;240.9
766677.67;6284816.48;1.11;0.34;71;8880;171.7
766680.18;6284815.13;1.28;0.33;73;10240;202.9
766682.82;6284813.75;1.16;0.39;75;9280;193
766684.96;6284812.64;1.38;0.32;72;11040;214.7
766688.47;6284810.75;1.04;0.21;59;8320;129.1
766690.27;6284809.8;1.11;0.48;62;8880;150.4
766692.5;6284808.67;1.4;0.41;79;11200;250
766695.07;6284807.29;1.51;0.3;79;12080;268.1
766697.7;6284805.9;1.45;0.31;76;11600;242.8
766700.61;6284804.36;1.37;0.39;71;10960;212.4
766702.52;6284803.45;1.14;0.31;79;9120;200.8
766705.32;6284801.93;0.95;0.28;63;7600;130.5
766707.53;6284800.8;1.23;0.35;79;9840;217
766709.79;6284799.52;1.24;0.27;71;9920;187.5
766712.09;6284798.23;1.18;0.36;68;9440;172.7
766714.4;6284796.89;1.03;0.28;68;8240;151.5
766716.82;6284795.67;1.16;0.3;73;9280;183.4
766719.71;6284794.24;1.2;0.38;70;9600;182.3
766722.35;6284792.91;1.36;0.29;76;10880;225.3
766724.6;6284791.7;1.07;0.5;72;8560;174.3
766727.45;6284790.21;1.08;0.35;73;8640;173.8
766729.98;6284788.91;1.25;0.29;78;10000;214.7
766732.58;6284787.53;1.11;0.29;73;8880;176.3
766734.74;6284786.35;0.93;0.32;55;7440;112.6
766737.73;6284784.64;1.09;0.23;76;8720;180.6
766740.1;6284783.44;1.27;0.49;70;10160;196.2
766742.83;6284781.97;1.15;0.46;67;9200;168.8
766745.17;6284780.7;1.48;0.35;73;11840;238
766747.77;6284779.24;1.12;0.3;70;8960;168.8
766750.84;6284777.61;1.42;0.34;68;11360;207.9
766753.04;6284776.42;1.5;0.37;79;12000;269.3
766755.45;6284775.16;0.99;0.33;63;7920;135.9
766758.47;6284773.57;1.11;0.34;74;8880;180.6
766760.95;6284772.31;1.57;0.38;78;12560;279.5
766763.23;6284771.12;1.28;0.25;69;10240;186.3
766765.74;6284769.76;1;0.34;65;8000;142.1
766769.13;6284767.95;1.28;0.3;67;10240;181.7
766771.05;6284766.93;1.22;0.4;81;9760;224.4
766773.66;6284765.46;1.5;0.39;72;12000;238.9
766776.18;6284764.1;1.14;0.4;71;9120;177.4
766779.08;6284762.57;1.2;0.29;81;9600;217
766781.43;6284761.37;1.29;0.31;73;10320;203.6
766784.43;6284759.84;1.22;0.42;74;9760;199.5
766786.75;6284758.67;1.12;0.32;82;8960;208.6
766789.24;6284757.32;1.41;0.41;76;11280;239.9
766791.86;6284755.95;1.16;0.32;78;9280;200.8
766794.45;6284754.61;1.05;0.32;71;8400;163.2
766797.12;6284753.19;1.3;0.33;76;10400;217
766799.5;6284751.97;1.36;0.36;79;10880;240.9
766801.35;6284751;1.15;0.52;86;9200;237
766792.4;6284750.13;0.84;0.49;76;6720;155.5
766790.13;6284751.25;1.16;0.44;79;9280;208.6
766787.8;6284752.45;1.24;0.34;68;9920;180.6
766785.28;6284753.83;1.11;0.54;79;8880;204.3
766782.87;6284755.09;1.19;0.47;84;9520;234.2
766780.33;6284756.58;1.29;0.51;81;10320;241.8
766777.56;6284758.04;1.09;0.48;68;8720;164.1
766775.86;6284758.98;1.5;0.33;66;12000;213.1
766772.39;6284760.7;1.26;0.3;67;10080;179
766770.25;6284761.82;1.17;0.58;82;9360;227
766767.48;6284763.25;1.44;0.3;77;11520;244.8
766765;6284764.54;1.21;0.23;74;9680;191.7
766762.6;6284765.81;1.31;0.32;81;10480;238
766760.29;6284767.08;1.25;0.43;75;10000;208.6
766757.53;6284768.56;1.36;0.36;75;10880;224.4
766755.03;6284769.87;1.1;0.41;73;8800;178.5
766752.27;6284771.29;1.25;0.36;71;10000;192.4
766749.99;6284772.59;1.32;0.59;77;10560;234.2
766747.55;6284773.93;1.03;0.46;77;8240;182.9
766744.97;6284775.29;1.18;0.41;83;9440;226.1
766742.37;6284776.58;1.47;0.58;59;11760;192.4
766739.77;6284778.02;1.28;0.38;79;10240;227
766737.41;6284779.38;1.09;0.41;72;8720;174.3
766735.14;6284780.5;1.06;0.33;76;8480;179.5
766732.49;6284781.91;1.14;0.47;80;9120;210.1
766729.78;6284783.25;1.35;0.56;70;10800;211.6
766727.29;6284784.52;1.29;0.44;58;10320;160.6
766725.08;6284785.66;1.17;0.54;63;9360;161.9
766721.63;6284787.47;1.29;0.54;78;10320;230.5
766719.58;6284788.58;1.13;0.27;71;9040;172.2
766716.63;6284790.12;1.13;0.35;76;9040;190.5
766713.95;6284791.56;1.2;0.33;68;9600;174.8
766711.84;6284792.69;1.1;0.26;63;8800;146.3
766709.08;6284794.25;1.09;0.28;71;8720;167.4
766706.41;6284795.69;1.11;0.57;62;8880;152.7
766704.02;6284797.02;1.11;0.33;68;8880;162.8
766701.63;6284798.27;1.29;0.33;80;10320;230.5
766698.66;6284799.76;1.14;0.3;83;9120;214.7
766696.09;6284801.14;1.04;0.45;61;8320;139.4
766693.62;6284802.42;1.47;0.35;72;11760;231.4
766690.86;6284803.84;1.3;0.29;75;10400;211.6
