X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766898.98;6284767.07;0.67;0.26;66;5360;40.2
766899.5;6284764.41;0.66;0.3;66;5280;40.6
766900.13;6284761.53;0.66;0.47;56;5280;35.9
766900.71;6284758.51;0.62;0.28;60;4960;35.4
766901.27;6284755.74;0.63;0.34;64;5040;39
766901.94;6284752.7;0.65;0.4;60;5200;37.4
766902.8;6284748.77;0.82;0.24;43;6560;28.6
766903.21;6284746.91;0.59;0.44;52;4720;31.8
766903.81;6284743.82;0.66;0.39;58;5280;36.2
766904.41;6284741.03;0.65;0.35;62;5200;38.2
766905.07;6284738.16;0.63;0.38;71;5040;44.9
766905.63;6284735.32;0.64;0.43;71;5120;45.9
766910.49;6284736.52;0.63;0.28;60;5040;35.6
766909.9;6284739.15;0.63;0.36;65;5040;40
766909.25;6284741.92;0.6;0.35;59;4800;35.2
766908.62;6284744.85;0.69;0.37;53;5520;33.4
766908.03;6284747.71;0.61;0.37;55;4880;33.1
766907.41;6284750.74;0.67;0.31;55;5360;33.5
766906.83;6284753.46;0.62;0.33;59;4960;35.3
766906.19;6284756.59;0.61;0.38;59;4880;35.7
766905.53;6284759.74;0.67;0.32;61;5360;37.5
766905.12;6284761.77;0.68;0.37;59;5440;37
766904.42;6284764.83;0.6;0.33;64;4800;38.2
766903.88;6284767.62;0.6;0.33;60;4800;35.6
766903.24;6284770.5;0.61;0.37;67;4880;41.2
766902.75;6284773.19;0.61;0.46;64;4880;40.2
766902.18;6284776.26;0.57;0.34;72;4560;43.6
766901.62;6284778.76;0.56;0.34;70;4480;41.8
766901;6284781.67;0.54;0.35;67;4320;39.3
766900.41;6284784.47;0.56;0.38;72;4480;44
766899.84;6284787.54;0.58;0.4;73;4640;45.6
766899.25;6284790.32;0.58;0.29;68;4640;40.1
766898.56;6284793.31;0.62;0.3;68;4960;41.1
766898.11;6284795.12;0.58;0.19;68;4640;38.8
766897.22;6284799.75;0.67;0.33;70;5360;44.3
766896.64;6284802.42;0.63;0.23;64;5040;37.6
766896.08;6284804.94;0.54;0.27;63;4320;35.6
766895.31;6284808.12;0.61;0.31;62;4880;36.8
766894.73;6284811.06;0.6;0.22;53;4800;30.2
766894.18;6284813.85;0.64;0.3;61;5120;36.7
766893.46;6284816.96;0.61;0.25;59;4880;34.2
766892.91;6284819.67;0.59;0.3;58;4720;33.8
766892.34;6284822.05;0.64;0.16;64;5120;36.9
766894.31;6284824.67;0.69;0.48;69;5520;46.3
766897.51;6284822.9;0.6;0.29;63;4800;37.1
766898.07;6284820.2;0.65;0.32;52;5200;31.5
766898.74;6284817.13;0.66;0.3;58;5280;35.1
766899.44;6284813.97;0.6;0.27;55;4800;31.9
766900.07;6284811.25;0.59;0.31;59;4720;34.5
766900.72;6284808.29;0.63;0.36;57;5040;34.6
766901.34;6284805.29;0.57;0.4;66;4560;40
766901.92;6284802.26;0.58;0.35;65;4640;38.8
766902.51;6284799.39;0.61;0.42;67;4880;41.9
766903.24;6284796.37;0.59;0.31;67;4720;39.9
766903.82;6284793.49;0.61;0.31;67;4880;40.3
766904.38;6284790.52;0.6;0.23;67;4800;39
766905;6284787.51;0.63;0.33;59;5040;35.5
766905.55;6284784.64;0.63;0.35;67;5040;41.3
766906.08;6284781.94;0.64;0.44;62;5120;39.1
766906.73;6284779;0.6;0.51;68;4800;43.7
766907.26;6284775.94;0.56;0.43;64;4480;38.7
766907.85;6284773.38;0.55;0.32;59;4400;33.9
766908.53;6284770.3;0.6;0.3;63;4800;37.2
766909.08;6284767.21;0.61;0.35;60;4880;36
766909.7;6284764.56;0.66;0.35;64;5280;39.8
766910.35;6284761.56;0.58;0.3;58;4640;33.6
766911;6284758.49;0.57;0.27;57;4560;32.5
766911.59;6284755.61;0.65;0.34;53;5200;32.3
766912.2;6284752.66;0.66;0.57;57;5280;37.8
766912.87;6284749.74;0.68;0.42;55;5440;35
766913.56;6284746.96;0.72;0.29;63;5760;39.6
766914.19;6284743.86;0.67;0.35;64;5360;40
766914.76;6284741.08;0.71;0.26;66;5680;41.1
766915.44;6284737.81;0.75;0.3;54;6000;34.3
766916.15;6284735.74;0.72;0.48;60;5760;40
766921.08;6284734.73;0.61;0.4;63;4880;38.7
766920.44;6284737.62;0.7;0.32;51;5600;31.8
766919.98;6284739.84;0.6;0.25;52;4800;30
766919.36;6284742.82;0.75;0.05;28;6000;19.7
766918.69;6284746.02;0.69;0.28;62;5520;38.1
766917.9;6284749.48;0.76;0.36;54;6080;35.2
766917.34;6284751.98;0.71;0.35;58;5680;36.7
766916.77;6284754.71;0.63;0.44;62;5040;38.9
766916.17;6284757.56;0.71;0.32;57;5680;35.7
766915.55;6284760.54;0.65;0.3;61;5200;36.8
766915.02;6284763.34;0.69;0.33;55;5520;34.1
766914.4;6284766.42;0.87;0.26;34;6960;25.2
766913.88;6284768.84;0.7;0.41;55;5600;35.3
766913.29;6284771.71;0.69;0.28;57;5520;34.8
766912.74;6284774.34;0.72;0.31;52;5760;32.7
766912.05;6284777.69;0.62;0.48;69;4960;44.6
766911.58;6284780.36;0.67;0.42;62;5360;39.5
766910.95;6284783.26;0.61;0.38;66;4880;40.6
