X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766314.14;6284546.65;0.13;0.1;31;1040;31.9
766314.23;6284543.8;0.11;0.09;20;880;37.7
766314.36;6284540.92;0.11;0.13;31;880;31.9
766314.41;6284536.45;0.36;0.02;19;2880;27.9
766314.52;6284534.49;0.19;0.15;21;1520;27.5
766314.5;6284532.04;0.12;0.15;33;960;33.7
766309.53;6284532.03;0.14;0.13;21;1120;26.5
766309.44;6284533.51;0.13;0.18;20;1040;26.3
766309.34;6284537.29;0.11;0.17;22;880;34.4
766309.27;6284539.65;0.1;0.09;18;800;38.9
766309.25;6284541.73;0.38;0.38;14;3040;23.8
766309.18;6284545.53;0.11;0.1;17;880;35.6
766309.11;6284548.24;0.19;0.07;20;1520;39.3
766309.03;6284551.79;0.15;0.13;22;1200;27.2
766308.95;6284554.17;0.12;0.11;31;960;31.9
766308.84;6284557.34;0.2;0.1;31;1600;33.3
766308.82;6284560.11;0.11;0.12;25;880;28.1
766308.75;6284562.84;0.13;0.17;23;1040;31.7
766308.65;6284565.58;0.12;0.13;18;960;37
766308.54;6284569.07;0.09;0.08;15;720;41
766308.48;6284571.97;0.16;0.12;21;1280;30.1
766308.43;6284574.5;0.14;0.08;23;1120;27.1
766308.36;6284576.9;0.15;0.09;23;1200;27.3
766308.32;6284581.07;0.15;0.11;20;1200;25.9
766308.22;6284583.01;0.1;0.07;10;800;20
766308.12;6284586.81;0.1;0.15;31;800;32
766308;6284589.57;0.08;0.15;21;640;25.7
766307.93;6284592.34;0.1;0.16;16;800;35.5
766307.88;6284595.86;0.09;0.11;26;720;32.3
766307.79;6284598.35;0.18;0.1;19;1440;38.7
766307.72;6284600.96;0.11;0.12;16;880;35.2
766307.6;6284604.53;0.11;0.09;23;880;40
766307.5;6284607.08;0.13;0.09;16;1040;35.2
766307.4;6284609.85;0.12;0.08;17;960;29.6
766307.33;6284612.76;0.2;0.08;18;1600;38.1
766307.28;6284615.55;0.12;0.1;26;960;32.9
766307.26;6284618.36;0.11;0.09;22;880;39.2
766307.16;6284621.46;0.13;0.09;19;1040;37.4
766307.09;6284624.01;0.12;0.12;18;960;36.8
766307.08;6284627.68;0.1;0.1;24;800;30.7
766307.03;6284630.07;0.1;0.12;17;800;35.7
766306.88;6284633.37;0.12;0.1;19;960;32.4
766306.89;6284636.6;0.08;0.11;17;640;35.1
766306.79;6284638.12;0.06;0.12;20;480;28.4
766304.34;6284640.34;0.21;0.14;21;1680;31.6
766301.84;6284637.06;0.12;0.1;15;960;34.4
766301.92;6284633.77;0.11;0.13;27;880;29.4
766302.03;6284631.39;0.14;0.15;28;1120;30.8
766302.06;6284628.57;0.12;0.08;11;960;20.7
766302.12;6284625.06;0.14;0.08;28;1120;30
766302.23;6284622.48;0.14;0.15;7;1120;19.8
766302.25;6284619.95;0.14;0.12;30;1120;31.7
766302.33;6284616.78;0.1;0.11;12;800;21.2
766302.46;6284613.33;0.12;0.08;11;960;20.7
766302.53;6284610.49;0.17;0.12;13;1360;18.3
766302.56;6284607.69;0.13;0.07;18;1040;24.1
766302.67;6284604.18;0.13;0.08;15;1040;22.7
766302.7;6284601.98;0.12;0.07;24;960;27.2
766302.74;6284598.92;0.15;0.14;25;1200;29.1
766302.84;6284596.04;0.14;0.09;15;1120;23
766302.91;6284592.87;0.11;0.14;28;880;30.1
766303.01;6284590.19;0.14;0.14;29;1120;31.3
