X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766665.15;6284828.67;1.11;0.6;0.84;8880
766661.82;6284830.43;1.07;0.24;0.85;8560
766659.91;6284831.45;0.85;0.28;0.84;6800
766657.37;6284832.63;1.01;0.39;0.82;8080
766654.62;6284833.99;1.05;0.47;0.77;8400
766652.24;6284833.95;1.57;0.53;0.85;12560
766651.31;6284830.4;0.95;0.38;0.68;7600
766653.97;6284828.95;1.16;0.3;0.77;9280
766656.97;6284827.26;1.33;0.28;0.8;10640
766659.37;6284826.01;1.16;0.39;0.82;9280
766662.06;6284824.46;1.19;0.32;0.81;9520
766664.42;6284823.25;1.56;0.41;0.87;12480
766667.66;6284821.6;1.1;0.35;0.72;8800
766669.68;6284820.52;1.14;0.31;0.84;9120
766672.36;6284819.21;1.27;0.39;0.82;10160
766674.92;6284817.89;1.34;0.36;0.91;10720
766677.67;6284816.48;1.11;0.34;0.82;8880
766680.18;6284815.13;1.28;0.33;0.84;10240
766682.82;6284813.75;1.16;0.39;0.86;9280
766684.96;6284812.64;1.38;0.32;0.83;11040
766688.47;6284810.75;1.04;0.21;0.7;8320
766690.27;6284809.8;1.11;0.48;0.73;8880
766692.5;6284808.67;1.4;0.41;0.9;11200
766695.07;6284807.29;1.51;0.3;0.9;12080
766697.7;6284805.9;1.45;0.31;0.87;11600
766700.61;6284804.36;1.37;0.39;0.82;10960
766702.52;6284803.45;1.14;0.31;0.9;9120
766705.32;6284801.93;0.95;0.28;0.74;7600
766707.53;6284800.8;1.23;0.35;0.9;9840
766709.79;6284799.52;1.24;0.27;0.82;9920
766712.09;6284798.23;1.18;0.36;0.79;9440
766714.4;6284796.89;1.03;0.28;0.79;8240
766716.82;6284795.67;1.16;0.3;0.84;9280
766719.71;6284794.24;1.2;0.38;0.81;9600
766722.35;6284792.91;1.36;0.29;0.87;10880
766724.6;6284791.7;1.07;0.5;0.83;8560
766727.45;6284790.21;1.08;0.35;0.84;8640
766729.98;6284788.91;1.25;0.29;0.89;10000
766732.58;6284787.53;1.11;0.29;0.84;8880
766734.74;6284786.35;0.93;0.32;0.66;7440
766737.73;6284784.64;1.09;0.23;0.87;8720
766740.1;6284783.44;1.27;0.49;0.81;10160
766742.83;6284781.97;1.15;0.46;0.78;9200
766745.17;6284780.7;1.48;0.35;0.84;11840
766747.77;6284779.24;1.12;0.3;0.81;8960
766750.84;6284777.61;1.42;0.34;0.79;11360
766753.04;6284776.42;1.5;0.37;0.9;12000
766755.45;6284775.16;0.99;0.33;0.74;7920
766758.47;6284773.57;1.11;0.34;0.85;8880
766760.95;6284772.31;1.57;0.38;0.89;12560
766763.23;6284771.12;1.28;0.25;0.8;10240
766765.74;6284769.76;1;0.34;0.76;8000
766769.13;6284767.95;1.28;0.3;0.78;10240
766771.05;6284766.93;1.22;0.4;0.92;9760
766773.66;6284765.46;1.5;0.39;0.83;12000
766776.18;6284764.1;1.14;0.4;0.82;9120
766779.08;6284762.57;1.2;0.29;0.92;9600
766781.43;6284761.37;1.29;0.31;0.84;10320
766784.43;6284759.84;1.22;0.42;0.85;9760
766786.75;6284758.67;1.12;0.32;0.93;8960
766789.24;6284757.32;1.41;0.41;0.87;11280
766791.86;6284755.95;1.16;0.32;0.89;9280
766794.45;6284754.61;1.05;0.32;0.82;8400
766797.12;6284753.19;1.3;0.33;0.87;10400
766799.5;6284751.97;1.36;0.36;0.9;10880
766801.35;6284751;1.15;0.52;0.97;9200
766792.4;6284750.13;0.84;0.49;0.87;6720
766790.13;6284751.25;1.16;0.44;0.9;9280
766787.8;6284752.45;1.24;0.34;0.79;9920
766785.28;6284753.83;1.11;0.54;0.9;8880
766782.87;6284755.09;1.19;0.47;0.95;9520
766780.33;6284756.58;1.29;0.51;0.92;10320
766777.56;6284758.04;1.09;0.48;0.79;8720
766775.86;6284758.98;1.5;0.33;0.77;12000
766772.39;6284760.7;1.26;0.3;0.78;10080
766770.25;6284761.82;1.17;0.58;0.93;9360
766767.48;6284763.25;1.44;0.3;0.88;11520
766765;6284764.54;1.21;0.23;0.85;9680
766762.6;6284765.81;1.31;0.32;0.92;10480
766760.29;6284767.08;1.25;0.43;0.86;10000
766757.53;6284768.56;1.36;0.36;0.86;10880
766755.03;6284769.87;1.1;0.41;0.84;8800
766752.27;6284771.29;1.25;0.36;0.82;10000
766749.99;6284772.59;1.32;0.59;0.88;10560
766747.55;6284773.93;1.03;0.46;0.88;8240
766744.97;6284775.29;1.18;0.41;0.94;9440
766742.37;6284776.58;1.47;0.58;0.7;11760
766739.77;6284778.02;1.28;0.38;0.9;10240
766737.41;6284779.38;1.09;0.41;0.83;8720
766735.14;6284780.5;1.06;0.33;0.87;8480
766732.49;6284781.91;1.14;0.47;0.91;9120
766729.78;6284783.25;1.35;0.56;0.81;10800
766727.29;6284784.52;1.29;0.44;0.69;10320
766725.08;6284785.66;1.17;0.54;0.74;9360
766721.63;6284787.47;1.29;0.54;0.89;10320
766719.58;6284788.58;1.13;0.27;0.82;9040
766716.63;6284790.12;1.13;0.35;0.87;9040
766713.95;6284791.56;1.2;0.33;0.79;9600
766711.84;6284792.69;1.1;0.26;0.74;8800
766709.08;6284794.25;1.09;0.28;0.82;8720
766706.41;6284795.69;1.11;0.57;0.73;8880
766704.02;6284797.02;1.11;0.33;0.79;8880
766701.63;6284798.27;1.29;0.33;0.91;10320
766698.66;6284799.76;1.14;0.3;0.94;9120
766696.09;6284801.14;1.04;0.45;0.72;8320
766693.62;6284802.42;1.47;0.35;0.83;11760
766690.86;6284803.84;1.3;0.29;0.86;10400
766688.19;6284805.31;1.12;0.34;0.88;8960
766685.85;6284806.5;1.14;0.29;0.86;9120
766683.19;6284807.94;1.34;0.38;0.9;10720
766680.95;6284809.09;1.21;0.32;0.93;9680
766678.06;6284810.59;1.29;0.42;0.91;10320
766675.52;6284811.97;1.2;0.41;0.85;9600
766672.95;6284813.36;1.08;0.46;0.96;8640
766670.34;6284814.74;1.07;0.49;0.78;8560
766667.59;6284816.19;1.29;0.32;0.9;10320
766665.11;6284817.37;1.06;0.37;0.88;8480
766663.42;6284818.21;1.1;0.27;0.75;8800
766659.7;6284820.23;0.96;0.43;0.57;7680
766657.41;6284821.52;1.02;0.4;0.85;8160
766654.94;6284822.8;1.02;0.53;0.84;8160
766652.12;6284824.26;1.13;0.47;0.9;9040
766650.27;6284825.05;0.8;0.44;0.45;6400
766647.05;6284823.97;1.07;0.48;0.81;8560
766647.58;6284820.79;1.33;0.43;0.86;10640
766650.83;6284819.09;1.19;0.33;0.86;9520
766652.42;6284818.32;1.3;0.35;0.86;10400
766655;6284816.93;1.15;0.31;0.83;9200
766657.63;6284815.53;1.42;0.28;0.97;11360
766660.44;6284814.08;1.05;0.28;0.79;8400
766662.36;6284813.05;1.17;0.34;0.89;9360
766665.6;6284811.3;1.12;0.77;0.85;8960
766667.48;6284810.31;1.27;0.37;0.91;10160
766670.07;6284808.97;1.02;1.27;0.24;8160
766672.84;6284807.52;1.31;0.37;0.9;10480
766675.49;6284806.2;1.1;0.73;0.73;8800
766677.09;6284805.34;1.14;1.07;0.53;9120
766679.95;6284803.74;1.24;0.43;0.83;9920
766682.45;6284802.51;1.04;0.25;0.71;8320
766684.89;6284801.25;1.27;0.28;0.79;10160
766687.42;6284799.92;1.13;0.34;0.88;9040
766689.81;6284798.63;1.23;0.26;0.78;9840
766692.61;6284797.22;1.23;0.45;0.85;9840
766694.72;6284796.01;1.04;0.32;0.86;8320
766697.77;6284794.39;1.09;0.26;0.39;8720
766700.16;6284793.17;1.06;0.49;0.85;8480
766702.58;6284791.84;1.22;0.23;0.87;9760
766704.87;6284790.55;1.06;0.48;0.84;8480
766707.03;6284789.47;1.31;0.36;0.85;10480
766709.91;6284787.9;0.95;0.41;0.84;7600
766712.24;6284786.66;0.95;0.35;0.8;7600
766714.68;6284785.43;0.88;0.28;0.82;7040
766717.06;6284784.17;1.13;0.27;0.83;9040
766720.13;6284782.51;1.11;0.43;0.79;8880
766722.27;6284781.41;1.44;0.47;0.89;11520
766724.89;6284780.06;1.19;0.4;0.89;9520
766727.51;6284778.65;1.11;0.44;0.69;8880
766730.73;6284776.94;1.11;0.42;0.8;8880
766732.71;6284775.96;1.12;0.55;0.81;8960
766735.19;6284774.56;1.16;0.3;0.78;9280
766738;6284773.08;1.16;0.25;0.85;9280
766740.34;6284771.95;1.55;0.34;0.88;12400
766742.85;6284770.57;1.51;0.33;0.84;12080
766744.93;6284769.54;1.1;0.48;0.72;8800
766748.21;6284767.72;1.16;0.38;0.88;9280
766750.76;6284766.29;1.41;0.35;0.94;11280
766753.38;6284764.85;1.24;0.34;0.83;9920
766755.88;6284763.53;1.11;0.39;0.74;8880
766758.5;6284762.09;1.19;0.36;0.8;9520
766760.88;6284760.83;1.26;0.38;0.89;10080
766763.45;6284759.47;1.14;0.55;0.88;9120
766765.98;6284758.21;1.21;0.4;0.89;9680
766768.42;6284756.84;1.16;0.32;0.82;9280
766771.14;6284755.48;1.36;0.39;0.93;10880
766773.64;6284754.11;1.14;0.38;0.8;9120
766776.25;6284752.8;1.14;0.45;0.84;9120
766778.23;6284751.75;1.32;0.28;0.81;10560
766781.66;6284749.95;1.22;0.41;0.78;9760
766784.01;6284748.71;1.04;0.36;0.71;8320
766785.97;6284747.2;1.14;0.6;0.85;9120
766656.83;6284841.32;1.49;0.44;0.85;11920
766659.59;6284839.99;1.11;0.38;0.71;8880
766661.95;6284838.65;1.38;0.37;0.83;11040
766664.49;6284837.38;1.48;0.37;0.86;11840
766667.19;6284835.98;1.21;0.51;0.67;9680
766669.37;6284834.89;1.6;0.42;0.87;12800
766672.19;6284833.37;1.16;0.33;0.85;9280
766674.5;6284832.15;1.17;0.31;0.89;9360
766677.25;6284830.66;1.01;0.41;0.75;8080
766679.41;6284829.53;1.3;0.35;0.88;10400
766681.98;6284828.14;1.42;0.5;0.68;11360
766684.57;6284826.73;1.14;0.47;0.65;9120
766686.58;6284825.64;1.25;0.52;0.82;10000
766689.86;6284823.93;1.55;0.46;0.83;12400
766692.29;6284822.68;1.34;0.98;0.71;10720
766694.76;6284821.4;1.35;0.64;0.86;10800
766697.35;6284820.05;1.69;0.49;0.7;13520
766699.63;6284818.89;1.45;0.59;0.81;11600
766702.77;6284817.24;1.12;0.96;0.79;8960
766705.13;6284815.98;1.13;0.39;0.69;9040
766707.02;6284814.9;1.24;0.39;0.78;9920
766709.9;6284813.39;1.3;0.39;0.8;10400
766711.71;6284812.47;1.24;0.8;0.73;9920
766714.62;6284811.04;1.66;0.61;0.74;13280
766717.43;6284809.58;1.2;0.92;0.65;9600
766719.22;6284808.64;1.27;0.66;0.86;10160
766721.84;6284807.35;1.07;0.28;0.56;8560
766724.6;6284805.74;1.59;0.36;0.88;12720
766726.8;6284804.51;1.21;0.5;0.84;9680
766729.51;6284803.14;1.12;0.43;0.86;8960
766731.96;6284801.86;1.4;0.4;0.81;11200
766734.35;6284800.52;1.01;0.41;0.72;8080
766736.58;6284799.36;1.09;0.44;0.51;8720
766739.62;6284797.73;1.36;0.47;0.77;10880
766741.93;6284796.53;1.35;0.44;0.74;10800
766745.07;6284794.84;1.25;0.3;0.79;10000
766746.69;6284793.95;1.24;0.31;0.66;9920
766749.77;6284792.39;1.12;0.31;0.88;8960
766752.3;6284791.06;1.09;0.35;0.69;8720
766754.68;6284789.78;1.29;0.5;0.97;10320
766757.37;6284788.27;1.31;0.33;0.82;10480
766759.57;6284787.09;1.2;0.55;0.88;9600
766761.63;6284785.9;1.19;0.52;0.56;9520
766765.08;6284784.19;1.46;0.41;0.84;11680
766766.72;6284783.27;1.1;0.41;0.48;8800
766770.19;6284781.43;1.66;0.27;0.85;13280
766772.54;6284780.24;1.63;0.39;0.74;13040
766774.58;6284779.11;1.4;0.38;0.78;11200
766776.93;6284777.82;1.15;0.46;0.6;9200
766780.03;6284776.22;1.54;0.28;0.84;12320
766782.37;6284774.97;1.38;0.35;0.88;11040
766784.88;6284773.69;1.49;0.43;0.92;11920
766787.68;6284772.17;1.17;0.33;0.72;9360
766790.16;6284770.86;1.29;0.27;0.88;10320
766792.29;6284769.77;1.38;0.39;0.84;11040
766795.24;6284768.23;1.53;0.41;0.8;12240
766797.41;6284767.15;1.18;0.43;0.78;9440
766800.31;6284765.57;1.57;0.37;0.78;12560
766802.91;6284764.18;1.2;0.43;0.76;9600
766805.43;6284762.9;1.37;0.32;0.78;10960
766807.69;6284761.74;1.06;0.58;0.38;8480
766811.02;6284759.88;1;0.36;0.75;8000
766813.12;6284758.83;1.12;0.42;0.89;8960
766815.64;6284757.52;1.26;0.55;0.9;10080
