X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766324.15;6284554.84;0.74;0.34;61;5920;67.6;24.8
766324.24;6284550.77;0.79;0.35;40;6320;47.7;41.6
766324.31;6284548.74;0.75;0.37;62;6000;69.9;24
766324.35;6284546.08;0.77;0.3;60;6160;66.6;25.6
766324.4;6284542.75;0.78;0.41;30;6240;40.5;49.6
766324.55;6284539.38;0.77;0.4;54;6160;61.8;30.4
766324.57;6284537.2;0.78;0.3;64;6240;72;22.4
766324.65;6284533.91;0.8;0.34;25;6400;38;53.6
766322.39;6284531.24;0.85;0.8;44;6800;61.8;38.4
766319.69;6284532.17;0.81;0.3;63;6480;71.8;23.2
766319.59;6284535.31;0.75;0.35;57;6000;63.4;28
766319.55;6284537.28;0.84;0.26;46;6720;53;36.8
766319.39;6284540.91;0.81;0.33;48;6480;55.3;35.2
766319.36;6284543.06;0.78;0.32;39;6240;46.1;42.4
766319.44;6284547.54;0.76;0.42;59;6080;67.7;26.4
766319.34;6284549.67;0.79;0.46;48;6320;57.2;35.2
766319.33;6284552.42;0.75;0.33;46;6000;51.7;36.8
766319.24;6284556.48;0.8;0.5;54;6400;65;30.4
766319.24;6284558.64;0.81;0.39;43;6480;51.6;39.2
766319.12;6284561.67;0.82;0.38;46;6560;54.6;36.8
766319;6284564.52;0.7;0.33;58;5600;62.4;27.2
766318.92;6284566.57;0.8;0.29;46;6400;52.4;36.8
766318.89;6284570.63;0.74;0.31;49;5920;53.9;34.4
766318.82;6284573.17;0.75;0.44;49;6000;56.6;34.4
766318.68;6284576.21;0.76;0.35;52;6080;58.3;32
766318.67;6284579.45;0.83;0.39;38;6640;47.7;43.2
766318.57;6284581.75;0.75;0.5;33;6000;43.3;47.2
766318.47;6284585.59;0.76;0.29;58;6080;63.6;27.2
766318.4;6284588.09;0.85;0.47;43;6800;54.2;39.2
766318.36;6284591.08;0.6;0.89;12;4800;35;64
766318.33;6284593.77;0.81;0.31;47;6480;54;36
766318.21;6284596.56;0.79;0.22;60;6320;65.5;25.6
766318.14;6284599.52;0.7;0.25;55;5600;57.6;29.6
766318.07;6284602.27;0.78;0.31;60;6240;67.2;25.6
766318.04;6284605.24;0.77;0.31;51;6160;56.8;32.8
766317.96;6284608.01;0.81;0.32;55;6480;62.6;29.6
766317.9;6284610.88;0.74;0.43;46;5920;53.2;36.8
766317.83;6284613.29;0.91;1.06;13;7280;51.9;63.2
766317.76;6284616.53;0.82;0.37;39;6560;48;42.4
766317.67;6284619.08;0.84;0.3;54;6720;62.1;30.4
766317.65;6284622.24;0.75;0.23;51;6000;54.6;32.8
766317.49;6284625.65;0.76;0.36;59;6080;66.4;26.4
766317.41;6284627.63;0.84;0.44;42;6720;52.4;40
766317.36;6284631.44;0.78;0.37;59;6240;67.3;26.4
766317.37;6284634.01;0.78;0.39;60;6240;69;25.6
766317.26;6284637;0.8;0.35;50;6400;57.5;33.6
766317.24;6284639.83;0.8;0.31;62;6400;70.4;24
766317.1;6284642.13;0.83;0.34;55;6640;63.7;29.6
766316.93;6284645.62;0.15;0.04;67;1200;49.3;20
766316.83;6284648.33;0.14;0.04;67;1120;49;20
766316.93;6284650.8;0.15;0.02;67;1200;48.9;20
766312.16;6284641.71;0.86;0.41;14;6880;36.5;62.4
766312.15;6284638.15;0.75;0.36;45;6000;51.3;37.6
766312.23;6284636.17;0.8;0.38;60;6400;69.5;25.6
766312.35;6284633.22;0.78;0.45;58;6240;67.9;27.2
766312.34;6284631.02;0.79;0.35;50;6320;57.1;33.6
766312.45;6284627.62;0.79;0.39;62;6320;72;24
766312.54;6284624.38;0.78;0.45;41;6240;50;40.8
766312.63;6284621.42;0.78;0.31;48;6240;54.1;35.2
766312.68;6284618.94;0.74;0.41;59;5920;66.8;26.4
766312.75;6284615.94;0.78;0.28;61;6240;67.7;24.8
766312.85;6284612.81;0.74;0.35;58;5920;64.3;27.2
766312.87;6284610.16;0.72;0.36;44;5760;49.5;38.4
766313.02;6284606.82;0.8;0.35;55;6400;62.9;29.6
766313.06;6284604.53;0.75;0.32;45;6000;50.6;37.6
766313.18;6284601.02;0.69;0.46;52;5520;58.2;32
766313.26;6284598.28;0.76;0.31;59;6080;65.3;26.4
766313.27;6284595.38;0.78;0.41;57;6240;65.8;28
766313.3;6284592.58;0.71;0.25;58;5680;61.1;27.2
766313.47;6284589.99;0.73;0.31;56;5840;60.8;28.8
766313.5;6284586.84;0.75;0.36;59;6000;66;26.4
766313.61;6284584.09;0.76;0.33;51;6080;56.9;32.8
766313.64;6284580.74;0.8;0.29;62;6400;69.9;24
766313.69;6284578.13;0.75;0.35;58;6000;64.6;27.2
766313.75;6284575.41;0.74;0.31;61;5920;66.9;24.8
766313.89;6284573.01;0.89;0.75;21;7120;47.9;56.8
766313.93;6284569.82;0.79;0.38;47;6320;54.7;36
766314.07;6284566.76;0.81;0.29;55;6480;62;29.6
766314.1;6284564.08;0.82;0.34;59;6560;68.1;26.4
766314.2;6284560.16;0.78;0.36;62;6240;70.8;24
766314.26;6284557.81;0.81;0.42;50;6480;59.2;33.6
766314.42;6284554.57;0.74;0.35;42;5920;48.1;40
766314.42;6284551.65;0.8;0.33;57;6400;64.8;28
766314.5;6284548.66;0.74;0.31;60;5920;65.7;25.6
766314.6;6284546.07;0.72;0.45;58;5760;65.8;27.2
766314.71;6284543.31;0.77;0.36;51;6160;57.8;32.8
766314.75;6284541.09;0.85;0.41;44;6800;54.1;38.4
766314.9;6284536.74;0.81;0.35;44;6480;51.9;38.4
766314.94;6284534.46;0.76;0.44;62;6080;72;24
766314.94;6284532.34;0.77;0.56;57;6160;68.9;28
