X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766917.68;6284753.99;1.23;0.48;0.95;9840
766917.06;6284756.84;1.27;0.34;0.89;10160
766916.34;6284759.94;1.25;0.37;0.9;10000
766915.74;6284762.7;1.21;0.31;0.8;9680
766915.17;6284765.44;1.17;0.41;0.74;9360
766914.55;6284768.52;1.19;0.44;0.85;9520
766913.96;6284771.47;1.19;0.49;0.82;9520
766913.44;6284774.21;1.24;0.47;0.79;9920
766912.75;6284777.33;1.29;0.49;0.94;10320
766912.17;6284780.04;1.25;0.47;0.91;10000
766911.56;6284782.85;1.22;0.4;0.93;9760
766910.99;6284785.68;1.18;0.37;0.95;9440
766910.4;6284788.61;1.14;0.46;0.9;9120
766909.79;6284791.36;1.18;0.25;0.9;9440
766909.23;6284794.18;1.27;0.3;0.9;10160
766908.71;6284797.08;1.16;0.43;0.91;9280
766908.18;6284799.82;1.06;0.39;0.97;8480
766907.52;6284802.69;1.13;0.51;0.93;9040
766906.9;6284805.54;1.13;0.32;0.89;9040
766906.3;6284808.48;1.18;0.35;0.78;9440
766905.74;6284811.39;1.16;0.33;0.84;9280
766905.14;6284814.38;1.28;0.26;0.85;10240
766904.56;6284817.2;1.21;0.26;0.84;9680
766903.84;6284820.11;1.31;0.27;0.9;10480
766903.13;6284823.04;1.26;0.31;0.87;10080
766895.55;6284773.05;1.14;0.31;0.95;9120
766895.07;6284775.68;1.02;0.4;0.89;8160
766894.62;6284778.5;0.97;0.4;0.89;7760
766894.13;6284781.29;0.97;0.54;0.95;7760
766893.57;6284784.14;1.02;0.44;0.88;8160
766892.93;6284786.99;0.94;0.46;0.77;7520
766892.33;6284789.84;1.17;0.45;0.87;9360
766891.58;6284792.76;1.14;0.88;0.61;9120
766891.02;6284795.56;1.11;0.82;0.68;8880
766890.49;6284798.49;1.11;0.53;0.81;8880
766889.86;6284801.54;1;0.48;0.84;8000
766889.2;6284804.34;1.04;0.33;0.79;8320
766888.57;6284807.42;1.07;0.36;0.84;8560
766888.06;6284810.33;0.91;0.35;0.87;7280
766887.53;6284812.68;1.16;0.4;0.83;9280
766886.83;6284815.65;1.13;0.52;0.88;9040
766886.28;6284818.17;1.25;0.29;0.92;10000
766885.68;6284821.2;1.31;0.48;0.84;10480
766887.47;6284823.45;0.9;0.56;0.8;7200
766890.22;6284822.14;1.28;0.38;0.92;10240
766890.94;6284818.9;1.2;0.36;0.79;9600
766891.55;6284816.11;1.13;0.31;0.89;9040
766892.16;6284813.04;1.01;0.54;0.79;8080
766892.71;6284810.23;0.98;0.38;0.84;7840
766893.37;6284807.03;1.09;0.31;0.83;8720
766893.99;6284804.17;1.2;0.33;0.77;9600
766894.68;6284801.03;1;0.37;0.79;8000
766895.38;6284798.26;0.96;0.57;0.76;7680
766896.01;6284795.32;0.96;0.82;0.69;7680
766896.67;6284791.96;1.04;0.39;0.83;8320
766897.33;6284789.08;1.13;0.37;0.95;9040
766897.97;6284786.05;1.08;0.42;0.92;8640
766898.61;6284782.99;1.2;0.31;0.95;9600
766899.17;6284780.18;1.13;0.36;0.98;9040
