X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766897.27;6284776.64;1.06;0.44;71;8480;180.1
766897.93;6284773.69;1.16;0.51;61;9280;165.5
766898.55;6284770.82;1.08;0.38;76;8640;197.5
766899.2;6284767.86;1.08;0.51;70;8640;181.7
766899.79;6284764.87;1.05;0.38;73;8400;182.9
766900.41;6284762.05;1.03;0.48;63;8240;154.3
766900.95;6284759.11;1.15;0.43;75;9200;206.4
766901.53;6284756.07;1.21;0.3;75;9680;211.6
766902.18;6284753.31;1.13;0.37;67;9040;175.3
766902.88;6284750.09;1.18;0.31;61;9440;162.8
766903.47;6284747.45;1.17;0.41;72;9360;198.8
766904.04;6284744.42;1.13;0.33;70;9040;183.4
766904.62;6284741.55;1.14;0.49;79;9120;221.9
766905.27;6284738.71;1.22;0.36;81;9760;238.9
766905.9;6284735.9;1.24;0.67;79;9920;247.9
766910.91;6284736.14;1.25;0.41;79;10000;238.9
766910.69;6284738.71;1.14;0.41;77;9120;211.6
766910.03;6284741.52;1.2;0.39;83;9600;244.8
766909.48;6284744.33;1.3;0.4;77;10400;238.9
766908.84;6284747.37;1.12;0.34;75;8960;198.8
766908.26;6284750.18;1.14;0.36;72;9120;192.4
766907.64;6284753.09;1.18;0.37;77;9440;217
766907.01;6284756.04;1.17;0.33;72;9360;196.2
766906.38;6284758.99;1.24;0.58;65;9920;191.1
766905.86;6284761.73;1.15;0.46;73;9200;200.8
766905.17;6284764.65;1.22;0.4;80;9760;237
766904.58;6284767.49;1.11;0.47;71;8880;188.1
766903.95;6284770.35;1.22;0.42;79;9760;233.3
766903.35;6284773.22;1.19;0.41;74;9520;208.6
766902.88;6284775.95;1.13;0.61;73;9040;202.9
766902.3;6284778.75;1.08;0.52;82;8640;224.4
766901.73;6284781.64;1.11;0.62;73;8880;200.2
766901.25;6284784.29;1.27;0.39;80;10160;245.9
766900.61;6284787.22;1.16;0.44;78;9280;219.4
766900.03;6284789.91;1.16;0.39;78;9280;217.8
766899.37;6284792.77;1.13;0.43;77;9040;210.9
766898.78;6284795.41;1.13;0.58;76;9040;212.4
766898.1;6284798.9;1.04;1.31;76;8320;224.4
766897.61;6284801.42;1.2;0.49;73;9600;209.4
766896.97;6284804.29;1.23;0.31;76;9840;219.4
766896.3;6284807.34;1.19;0.39;77;9520;219.4
766895.61;6284810.24;1.18;0.43;74;9440;207.9
766894.95;6284813.23;1.19;0.39;76;9520;215.5
766894.32;6284816.06;1.17;0.45;68;9360;186.3
766893.74;6284819.08;1.24;0.33;77;9920;225.3
766893.16;6284821.96;1.13;0.34;80;9040;218.6
766893.79;6284824.71;1.35;0.73;70;10800;233.3
766897.74;6284823.56;1.31;0.36;78;10480;243.8
766898.28;6284820.85;1.25;0.3;75;10000;218.6
766898.83;6284818.33;1.18;0.29;73;9440;199.5
766899.41;6284815.8;1.17;0.32;71;9360;192.4
766900.1;6284812.88;1.23;0.4;73;9840;211.6
766900.64;6284810.37;1.23;0.42;66;9840;188.1
766901.3;6284807.47;1.2;0.3;63;9600;170.7
766902.01;6284804.52;1.18;0.32;66;9440;177.4
766902.62;6284801.65;1.12;0.4;68;8960;177.9
766903.25;6284798.67;1.17;0.36;67;9360;180.6
766903.81;6284795.91;1.12;0.4;70;8960;184
766904.35;6284793.11;1.11;0.41;69;8880;180.1
766904.95;6284790.26;1.1;0.32;71;8800;181.7
766905.53;6284787.31;1.09;0.34;67;8720;168.8
766906.03;6284784.3;1.21;0.36;80;9680;233.3
766906.55;6284781.38;1.13;0.55;71;9040;193.6
