X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766316.11;6284638.83;1.11;0.32;96;8880;124.6
766316.02;6284640.97;1.19;0.54;86;9520;113.5
766315.96;6284643.46;1.08;0.31;97;8640;123.9
766315.86;6284646.51;0.08;0.03;97;640;58.3
766315.33;6284650.27;0.81;0.13;97;6480;99.6
766314.26;6284651.63;0.9;0.51;89;7200;96.9
766311.59;6284650.9;0.84;0.78;88;6720;94.4
766311.03;6284641.18;0.84;0.59;40;6720;51.8
766311.09;6284637.58;1.25;0.42;80;10000;104.9
766311.14;6284635.24;1.08;0.48;96;8640;124.2
766311.27;6284632.37;1.11;0.62;94;8880;124.9
766311.22;6284629.63;1.07;0.54;89;8560;110
766311.24;6284626.59;1.39;0.54;94;11120;151
766311.38;6284623.69;1.29;0.41;73;10320;95.1
766311.53;6284620.65;1.09;0.42;84;8720;100.4
766311.62;6284617.81;1.18;0.42;94;9440;128.1
766311.68;6284614.84;1.06;0.41;91;8480;111.2
766311.75;6284611.83;1.11;0.62;93;8880;122.7
766311.83;6284609.08;1.17;0.47;89;9360;116.9
766311.93;6284606.06;1.14;0.54;94;9120;126.1
766311.97;6284603.42;1.31;0.42;84;10480;117.5
766312;6284600.27;1.28;0.55;89;10240;127.7
766312.1;6284597.55;1.21;0.51;92;9680;127.7
766312.16;6284594.54;1.15;0.55;94;9200;127.4
766312.2;6284591.63;1.2;0.53;94;9600;131.8
766312.34;6284588.89;1.07;0.53;93;8560;117.8
766312.38;6284585.86;1.09;0.61;96;8720;127.4
766312.52;6284582.87;1.25;0.48;86;10000;117.5
766312.51;6284579.98;1.16;0.55;94;9280;128.4
766312.62;6284577.32;1.06;0.58;91;8480;113.7
766312.69;6284574.48;1.09;0.58;92;8720;118.1
766312.76;6284571.68;1.14;0.63;50;9120;67.8
766312.82;6284568.73;1.17;0.66;90;9360;122.1
766312.92;6284565.64;1.12;0.58;95;8960;127.4
766312.99;6284563.12;1.13;0.52;88;9040;112.5
766313.12;6284559.65;1.26;0.52;88;10080;123.3
766313.19;6284557.28;1.26;0.62;90;10080;129.4
766313.33;6284553.96;1.18;0.53;82;9440;104.7
766313.32;6284551.39;1.07;0.48;91;8560;113
766313.4;6284548.69;1.26;0.46;91;10080;129.1
766313.46;6284545.82;1.24;0.44;94;9920;133.9
766313.52;6284543.16;1.08;0.57;94;8640;121.5
766313.59;6284540.5;1.23;0.54;83;9840;110.7
766313.74;6284536.86;1.25;0.51;70;10000;88.6
766313.81;6284534.56;1.39;0.57;91;11120;143.6
766313.88;6284531.86;1.11;0.65;88;8880;112.7
766309.09;6284531.8;1.13;0.53;84;9040;104.7
766309.03;6284533.44;1.14;0.67;84;9120;107.4
766309.02;6284537.23;1.06;0.5;83;8480;97.5
766308.94;6284539.63;1.08;0.52;89;8640;110.5
766308.84;6284543.53;1.19;0.63;66;9520;80.4
766308.85;6284545.39;1.07;0.51;90;8560;111.5
766308.79;6284548.22;1.1;0.57;84;8800;103.1
766308.68;6284551.56;1.14;0.53;90;9120;117.5
766308.58;6284554.6;1.13;0.55;93;9040;123.3
766308.49;6284557.39;1.16;0.57;93;9280;126.4
766308.47;6284560.68;1.39;0.48;80;11120;116.7
766308.41;6284563.26;0.98;0.54;93;7840;110.7
766308.32;6284565.74;1.19;0.58;59;9520;73.2
766308.23;6284569.14;1.1;0.57;85;8800;104.9
766308.12;6284571.96;1.07;0.55;95;8560;122.4
766308.03;6284574.91;1.02;0.38;96;8160;117.5
766307.95;6284577.65;1.18;0.54;82;9440;104.9
766307.95;6284580.72;1.02;0.51;88;8160;103.8
766307.84;6284583.17;1.15;0.51;80;9200;98.7
766307.78;6284586.41;1.29;0.45;73;10320;95.6
766307.69;6284589.59;1.13;0.43;78;9040;92.9
766307.71;6284592.28;1.1;0.55;94;8800;123
766307.62;6284595.34;1.22;0.56;89;9760;122.7
766307.55;6284598.26;1.17;0.61;96;9360;135
766307.46;6284601.11;1.12;0.62;88;8960;113
766307.33;6284604.45;0.99;0.39;85;7920;94.7
766307.19;6284607.13;1.13;0.49;92;9040;120.3
766307.05;6284610.19;1.27;0.46;66;10160;83.2
766307.01;6284612.84;1.13;0.45;94;9040;123.9
766306.97;6284615.64;1.09;0.6;96;8720;127.4
766306.9;6284618.4;1.25;0.47;95;10000;138
766306.82;6284621.59;1.1;0.52;93;8800;120.3
766306.81;6284624.29;1.17;0.47;90;9360;119.2
766306.78;6284627.46;1.2;0.53;91;9600;124.9
766306.71;6284630.21;1.18;0.45;94;9440;128.4
766306.61;6284633.19;1.15;0.43;90;9200;116.7
766306.59;6284636.07;1.39;0.46;94;11120;149.6
766306.49;6284638.59;1.22;0.55;85;9760;114
766306.38;6284641.14;0.94;0.56;82;7520;88.6
766300.92;6284640.22;1.3;0.66;88;10400;129.1
766301.27;6284638.06;1.22;0.41;94;9760;131.5
766301.39;6284635.26;1.23;0.45;89;9840;121.8
766301.47;6284632.3;1.13;0.48;93;9040;122.1
766301.56;6284629.41;1.13;0.45;95;9040;126.1
766301.64;6284626.38;1.14;0.61;72;9120;86
766301.66;6284623.74;1.09;0.53;93;8720;119.5
766301.77;6284620.88;1.14;0.55;90;9120;117.8
766301.77;6284617.96;1.19;0.47;90;9520;120.6
766301.88;6284615.2;1.22;0.46;77;9760;97.7
766301.96;6284612.25;1.29;0.41;88;10320;124.2
766302.02;6284609.41;1.23;0.42;84;9840;111
766302.06;6284606.79;0.98;0.45;65;7840;66.3
766302.15;6284603.66;1.24;0.66;92;9920;132.9
766302.2;6284600.83;1.17;0.55;93;9360;126.8
766302.22;6284598.23;1.23;0.51;87;9840;118.3
766302.25;6284595;1.2;0.42;78;9600;97.5
766302.35;6284592.25;1.13;0.51;94;9040;124.9
766302.41;6284589.43;1.16;0.57;81;9280;101.9
766302.5;6284586.46;1.21;0.46;86;9680;114
766302.62;6284583.45;1.2;0.45;86;9600;113
766302.68;6284580.78;1.17;0.54;88;9360;115.9
766302.76;6284577.68;1.07;0.73;87;8560;108.5
766302.87;6284575.13;1.09;0.55;93;8720;119.8
766302.9;6284572.42;1.11;0.49;90;8880;114.3
766302.99;6284569.48;0.94;0.46;64;7520;63.4
766303;6284566.31;1.1;0.57;92;8800;118.9
766303.08;6284563.82;1.3;0.44;87;10400;123.3
766303.14;6284560.69;1.28;0.41;84;10240;114.8
766303.26;6284558;1.14;0.52;93;9120;123.6
766303.36;6284555.27;1.11;0.59;89;8880;113.7
766303.42;6284552.18;1.24;0.59;90;9920;127.1
766303.46;6284549.74;1.13;0.69;88;9040;114.8
766303.56;6284546.65;1.12;0.65;81;8960;100
766303.65;6284543.49;1.05;0.58;87;8400;105.1
766303.74;6284541.15;1.13;0.48;77;9040;91.9
766303.8;6284538.3;1.23;0.49;81;9840;106.2
766303.84;6284535.9;1.2;0.4;82;9600;104.4
766303.92;6284532.54;1.16;0.52;89;9280;116.9
766302.37;6284530.97;1.24;0.5;68;9920;84.9
766299.07;6284532.79;1.05;0.49;93;8400;115.6
766299.1;6284535.08;1.06;0.37;86;8480;101.1
766299;6284538.47;1.05;0.55;77;8400;87.6
766298.9;6284541.07;1.1;0.49;87;8800;107.6
766298.82;6284543.91;1.09;0.62;95;8720;125.2
766298.72;6284546.59;1.14;0.61;94;9120;127.4
766298.66;6284549.66;1.12;0.49;81;8960;98.1
766298.63;6284552.09;1.09;0.44;90;8720;112
766298.54;6284555.51;1.07;0.63;87;8560;107.1
766298.47;6284558.08;1.04;0.68;93;8320;117.5
766298.41;6284561.02;1.17;0.66;94;9360;131.1
766298.34;6284563.81;1.06;0.44;94;8480;117.8
766298.27;6284566.89;1.17;0.47;93;9360;125.5
766298.25;6284569.61;1.24;0.67;95;9920;140.3
766298.19;6284572.49;1.07;0.58;95;8560;123
766298.15;6284575.32;1.09;0.42;95;8720;122.1
766298.09;6284578.12;1.25;0.5;92;10000;131.1
766298;6284580.96;1.1;0.44;83;8800;99.6
766297.91;6284583.41;0.98;0.32;88;7840;98.3
766297.76;6284587.09;1.05;0.42;88;8400;104.7
766297.73;6284589.46;1.06;0.7;84;8480;101.9
766297.66;6284592.58;1.08;0.54;83;8640;99.4
766297.59;6284595.32;1.11;0.43;89;8880;111.5
766297.52;6284598.08;1.08;0.48;92;8640;115.9
766297.45;6284601.02;1.09;0.53;93;8720;119.5
766297.37;6284603.58;1.11;0.41;92;8880;117.2
766297.28;6284606.55;1.16;0.58;86;9280;111.7
766297.19;6284608.7;1.1;0.59;78;8800;92.8
766297.1;6284611.89;1.13;0.6;88;9040;113.5
766297.03;6284614.98;1.11;0.53;95;8880;125.8
766296.99;6284617.87;1.07;0.54;94;8560;120
766296.87;6284620.58;1.01;0.54;95;8080;117.2
766296.79;6284622.74;1.05;0.49;76;8400;85.3
766296.75;6284626.52;1.11;0.61;75;8880;88.8
766296.78;6284629.33;0.93;0.21;47;7440;53.5
766296.69;6284631.88;1.13;0.44;91;9040;117.2
766296.64;6284634.2;1.13;0.63;89;9040;116.1
766296.59;6284636.42;1.17;0.61;91;9360;123.3
766322.96;6284656.8;0.51;0.19;6;4080;31.6
766323.74;6284651.32;0.81;0.46;48;6480;51.8
766323.7;6284649.48;1.34;0.61;88;10720;132.1
766323.83;6284646.76;1.39;0.48;94;11120;150.1
766324.05;6284644;1.4;0.54;90;11200;141.5
766324.04;6284640.9;1.4;0.48;91;11200;143.2
766324.05;6284638.37;1.17;0.72;86;9360;114.5
766324.12;6284635.02;1.6;0.59;80;12800;137.6
766324.19;6284632.44;1.33;0.61;92;10640;140.7
766324.15;6284629.68;1.22;0.69;92;9760;131.5
766324.14;6284626.91;1.06;0.54;88;8480;107.1
766324.19;6284623.69;1.17;0.57;91;9360;122.7
766324.26;6284620.8;1.33;0.76;88;10640;133.9
766324.4;6284617.78;1.31;0.53;92;10480;137.6
766324.51;6284614.83;1.16;0.51;72;9280;86.2
766324.49;6284611.92;1.26;0.75;90;10080;131.8
766324.55;6284609.06;1.36;0.5;91;10880;139.6
766324.65;6284606.13;1.43;0.39;90;11440;141.9
766324.73;6284603.17;1.22;0.56;92;9760;129.4
766324.82;6284600.38;1.3;0.58;96;10400;147.4
766324.85;6284597.38;1.4;0.53;92;11200;146.5
766324.86;6284594.86;1.27;0.48;83;10160;113
766324.98;6284591.54;1.22;0.63;92;9760;130.4
766325.04;6284588.73;1.13;0.57;87;9040;111.2
766325.16;6284585.86;1.14;0.59;88;9120;114.3
766325.24;6284582.4;1.32;0.41;72;10560;95.4
766325.39;6284579.93;1.26;0.5;94;10080;136.9
766325.4;6284577.09;1.27;0.77;82;10160;115.3
766325.43;6284574.24;1.17;0.68;94;9360;131.5
766325.51;6284571.17;1.3;0.69;88;10400;129.7
766325.54;6284568.39;1.25;0.45;95;10000;137.6
766325.56;6284565.53;1.44;0.51;92;11520;150.5
766325.58;6284562.42;1.04;0.72;67;8320;74.4
766325.65;6284559.56;1.3;0.66;73;10400;98.8
766325.73;6284556.76;1.53;0.54;89;12240;152.8
766325.78;6284553.89;1.08;0.57;67;8640;75
766325.81;6284551;1.33;0.45;95;10640;145.7
766325.88;6284548.21;1.3;0.47;89;10400;128.4
766325.94;6284545.32;1.16;0.43;95;9280;128.4
766326.01;6284542.58;1.24;0.44;93;9920;131.5
766326.11;6284539.63;1.26;0.51;94;10080;137.2
766326.16;6284536.91;1.17;0.5;92;9360;123.9
766326.21;6284534.38;1.36;0.57;76;10880;107.6
766325.96;6284531.48;1.28;0.57;88;10240;125.8
766321.51;6284532.12;1.63;0.48;91;13040;168.9
766321.44;6284535.1;1.29;0.54;89;10320;128.7
766321.37;6284537.87;1.23;0.52;94;9840;134.3
766321.25;6284540.61;1.24;0.51;90;9920;125.8
766321.15;6284543.38;1.13;0.55;95;9040;127.7
766321.16;6284546.24;1.24;0.44;91;9920;126.8
766321.07;6284548.88;1.09;0.59;94;8720;122.7
