X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766912.77;6284752.11;1.18;0.48;73;9440;109.7
766913.43;6284749.26;1.19;0.42;69;9520;102.1
766914.04;6284746.25;1.25;0.47;71;10000;111.2
766914.59;6284743.42;1.28;0.45;83;10240;140.3
766915.22;6284740.62;1.29;0.33;64;10320;99.2
766915.9;6284737.49;1.26;0.4;73;10080;115.1
766916.71;6284734.12;1.27;0.38;78;10160;126.4
766917.45;6284731.9;1.21;0.34;77;9680;118.3
766921.76;6284733.85;1.34;0.61;73;10720;125.2
766921.27;6284736.34;1.27;0.36;78;10160;126.1
766920.68;6284739.42;1.27;0.56;84;10160;144
766920.14;6284741.89;1.24;0.33;60;9920;89.1
766919.45;6284745.34;1.22;0.52;74;9760;115.6
766918.86;6284747.94;1.29;0.34;70;10320;110.7
766918.24;6284751.01;1.28;0.41;79;10240;130.1
766917.68;6284753.99;1.23;0.48;80;9840;129.1
766917.06;6284756.84;1.27;0.34;74;10160;116.9
766916.34;6284759.94;1.25;0.37;75;10000;118.1
766915.74;6284762.7;1.21;0.31;65;9680;95.1
766915.17;6284765.44;1.17;0.41;59;9360;84.2
766914.55;6284768.52;1.19;0.44;70;9520;104.2
766913.96;6284771.47;1.19;0.49;67;9520;99.4
766913.44;6284774.21;1.24;0.47;64;9920;97.5
766912.75;6284777.33;1.29;0.49;79;10320;132.5
766912.17;6284780.04;1.25;0.47;76;10000;121.5
766911.56;6284782.85;1.22;0.4;78;9760;122.4
766910.99;6284785.68;1.18;0.37;80;9440;122.7
766910.4;6284788.61;1.14;0.46;75;9120;110.2
766909.79;6284791.36;1.18;0.25;75;9440;110.5
766909.23;6284794.18;1.27;0.3;75;10160;118.6
766908.71;6284797.08;1.16;0.43;76;9280;113.5
766908.18;6284799.82;1.06;0.39;82;8480;116.9
766907.52;6284802.69;1.13;0.51;78;9040;116.4
766906.9;6284805.54;1.13;0.32;74;9040;105.6
766906.3;6284808.48;1.18;0.35;63;9440;90.3
766905.74;6284811.39;1.16;0.33;69;9280;98.8
766905.14;6284814.38;1.28;0.26;70;10240;108.8
766904.56;6284817.2;1.21;0.26;69;9680;101.5
766903.84;6284820.11;1.31;0.27;75;10480;121.5
766903.13;6284823.04;1.26;0.31;72;10080;111.7
766895.55;6284773.05;1.14;0.31;80;9120;118.3
766895.07;6284775.68;1.02;0.4;74;8160;98.7
766894.62;6284778.5;0.97;0.4;74;7760;95.3
766894.13;6284781.29;0.97;0.54;80;7760;107.8
766893.57;6284784.14;1.02;0.44;73;8160;97.5
766892.93;6284786.99;0.94;0.46;62;7520;75.8
766892.33;6284789.84;1.17;0.45;72;9360;106.7
766891.58;6284792.76;1.14;0.88;46;9120;74.2
766891.02;6284795.56;1.11;0.82;53;8880;76.4
766890.49;6284798.49;1.11;0.53;66;8880;92.8
766889.86;6284801.54;1;0.48;69;8000;89.9
766889.2;6284804.34;1.04;0.33;64;8320;83
766888.57;6284807.42;1.07;0.36;69;8560;93.1
766888.06;6284810.33;0.91;0.35;72;7280;87.4
766887.53;6284812.68;1.16;0.4;68;9280;98.1
766886.83;6284815.65;1.13;0.52;73;9040;106.5
766886.28;6284818.17;1.25;0.29;77;10000;120.9
766885.68;6284821.2;1.31;0.48;69;10480;112.2
766887.47;6284823.45;0.9;0.56;65;7200;78.7
766890.22;6284822.14;1.28;0.38;77;10240;125.2
766890.94;6284818.9;1.2;0.36;64;9600;93.5
766891.55;6284816.11;1.13;0.31;74;9040;105.6
766892.16;6284813.04;1.01;0.54;64;8080;83.5
766892.71;6284810.23;0.98;0.38;69;7840;87.4
766893.37;6284807.03;1.09;0.31;68;8720;92.1
766893.99;6284804.17;1.2;0.33;62;9600;89.8
766894.68;6284801.03;1;0.37;64;8000;81
766895.38;6284798.26;0.96;0.57;61;7680;76.6
766896.01;6284795.32;0.96;0.82;54;7680;69.9
766896.67;6284791.96;1.04;0.39;68;8320;89.8
766897.33;6284789.08;1.13;0.37;80;9040;118.3
766897.97;6284786.05;1.08;0.42;77;8640;109
766898.61;6284782.99;1.2;0.31;80;9600;123.3
766899.17;6284780.18;1.13;0.36;83;9040;124.6
766899.72;6284777.16;1.09;0.34;83;8720;120.9
766900.37;6284774.22;1.24;0.3;78;9920;122.4
766901;6284771.33;1.19;0.31;76;9520;114
766901.63;6284768.43;1.2;0.38;77;9600;118.1
766902.19;6284765.54;1.17;0.3;76;9360;112.5
766902.86;6284762.54;1.06;0.41;72;8480;98.1
766903.41;6284759.53;1.31;0.3;82;10480;138.4
766903.96;6284756.71;1.23;0.38;66;9840;99.2
766904.65;6284753.7;1.36;0.3;75;10880;126.4
766905.25;6284750.92;1.29;0.29;77;10320;124.6
766905.91;6284747.96;1.28;0.34;75;10240;120
766906.5;6284744.82;1.29;0.52;66;10320;105.3
766907.06;6284742.09;1.26;0.45;80;10080;131.1
