X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766680.28;6284808.89;0.71;0.16;66;5680
766677.21;6284810.44;0.64;0.16;65;5120
766674.6;6284811.89;0.64;0.21;58;5120
766671.93;6284813.34;0.68;0.18;66;5440
766669.16;6284814.82;0.69;0.25;47;5520
766666.57;6284816.19;0.73;0.27;73;5840
766664.34;6284817.36;0.67;0.19;60;5360
766661.39;6284818.96;0.77;0.44;31;6160
766658.09;6284820.74;0.73;0.38;36;5840
766656.04;6284821.82;0.71;0.34;57;5680
766652.93;6284823.37;0.72;0.26;62;5760
766650.61;6284824.62;0.67;0.48;48;5360
766647.19;6284823.93;0.76;0.31;54;6080
766647.61;6284820.46;0.78;0.39;50;6240
766650.65;6284819.02;0.71;0.35;56;5680
766652.89;6284817.87;0.78;0.38;56;6240
766655.41;6284816.51;0.66;0.24;60;5280
766657.92;6284815.14;0.81;0.28;53;6480
766660.68;6284813.64;0.65;0.26;60;5200
766662.3;6284812.74;0.68;0.16;53;5440
766666.15;6284810.8;0.68;0.19;65;5440
766668.04;6284809.84;0.79;0.42;51;6320
766671.31;6284808.07;0.69;0.48;51;5520
766673.29;6284806.98;0.79;0.39;56;6320
766676.2;6284805.5;0.81;0.49;41;6480
766679.26;6284803.85;0.8;0.47;44;6400
766681.52;6284802.76;0.86;0.25;33;6880
766684.45;6284801.2;0.76;0.21;55;6080
766686.73;6284800.01;0.66;0.25;66;5280
766689.33;6284798.66;0.75;0.3;56;6000
766692.19;6284797.23;0.76;0.31;58;6080
766694.56;6284795.92;0.74;0.38;53;5920
766697.35;6284794.41;0.74;0.3;31;5920
766699.86;6284793.12;0.69;0.31;54;5520
766702.5;6284791.74;0.72;0.24;60;5760
766705.03;6284790.31;0.81;0.18;63;6480
766707.43;6284789.08;0.79;0.32;61;6320
766710.46;6284787.44;0.66;0.31;72;5280
766713;6284786.07;0.61;0.19;60;4880
766715.44;6284784.82;0.65;0.27;62;5200
766718.03;6284783.47;0.69;0.42;55;5520
766721.12;6284781.84;0.65;0.2;67;5200
766723.79;6284780.51;0.67;0.25;65;5360
766725.82;6284779.45;0.73;0.38;59;5840
766728.61;6284777.92;0.72;0.39;49;5760
766731.58;6284776.39;0.7;0.29;56;5600
766734.27;6284774.94;0.63;0.21;57;5040
766736.95;6284773.53;0.66;0.29;58;5280
766739.41;6284772.3;0.68;0.14;69;5440
766742.24;6284770.79;0.7;0.33;54;5600
766744.78;6284769.47;0.77;0.38;54;6160
766747.56;6284767.94;0.8;0.39;61;6400
766749.98;6284766.61;0.77;0.3;64;6160
766752.6;6284765.25;0.7;0.2;63;5600
766755.08;6284763.93;0.76;0.4;62;6080
766757.87;6284762.48;0.69;0.29;58;5520
766760.28;6284761.2;0.74;0.27;71;5920
766762.73;6284759.93;0.88;0.28;64;7040
766765.43;6284758.48;0.87;0.43;60;6960
766768;6284757.07;0.73;0.41;64;5840
766770.72;6284755.7;0.74;0.34;65;5920
766773.14;6284754.42;0.71;0.41;61;5680
766775.91;6284753.05;0.7;0.39;64;5600
766778.61;6284751.71;0.63;0.56;58;5040
766781.17;6284750.41;0.67;0.47;63;5360
766783.62;6284749.07;0.78;0.37;67;6240
766784.16;6284748.67;0.56;0.33;52;4480
766784.93;6284748.12;0.73;0.36;72;5840
766709.31;6284818.46;0.63;0.27;55;5040
766699.84;6284823.49;0.6;0.39;60;4800
766693.2;6284826.96;0.57;0.26;51;4560
766689.36;6284829;0.65;0.32;53;5200
766686.55;6284830.45;0.54;0.38;47;4320
766684.02;6284831.84;0.57;0.38;52;4560
766681.49;6284833.11;0.56;0.34;49;4480
766678.64;6284834.71;0.59;0.4;56;4720
766675.56;6284836.3;0.59;0.35;54;4720
766674.01;6284837.13;0.62;0.25;53;4960
766670.64;6284838.97;0.59;0.28;46;4720
766668.46;6284840.07;0.69;0.35;54;5520
766665.55;6284841.59;0.7;0.39;58;5600
766663.28;6284842.72;0.7;0.37;62;5600
766660.27;6284844.33;0.54;0.39;57;4320
766656.31;6284841.38;0.6;0.48;50;4800
766658.17;6284840.04;0.53;0.34;53;4240
766660.62;6284838.73;0.59;0.34;57;4720
766663.41;6284837.3;0.72;0.37;54;5760
766666.21;6284835.9;0.64;0.34;67;5120
766668.81;6284834.6;0.72;0.34;64;5760
766671.56;6284833.12;0.61;0.49;64;4880
766674.1;6284831.77;0.61;0.31;66;4880
766676.86;6284830.32;0.61;0.42;61;4880
766679.4;6284828.96;0.67;0.27;64;5360
766682.12;6284827.49;0.61;0.37;59;4880
766684.72;6284826.03;0.61;0.37;59;4880
766687.28;6284824.7;0.63;0.52;59;5040
766689.94;6284823.32;0.65;0.43;62;5200
766692.67;6284821.98;0.68;0.34;64;5440
766695.16;6284820.67;0.64;0.42;70;5120
766697.75;6284819.36;0.58;0.45;59;4640
766700.3;6284817.98;0.65;0.36;63;5200
766702.96;6284816.6;0.53;0.53;54;4240
766705.6;6284815.17;0.63;0.51;61;5040
766708.11;6284813.85;0.62;0.61;56;4960
766710.65;6284812.52;0.72;0.34;64;5760
766713.21;6284811.23;0.67;0.38;50;5360
766715.78;6284809.83;0.62;0.53;49;4960
766718.39;6284808.53;0.76;0.33;59;6080
766720.93;6284807.26;0.62;0.33;53;4960
766723.72;6284805.76;0.76;0.49;52;6080
766725.97;6284804.55;0.75;0.32;57;6000
766729.06;6284802.95;0.76;0.33;59;6080
766731.59;6284801.6;0.7;0.27;60;5600
766734.19;6284800.23;0.69;0.33;53;5520
766737.03;6284798.7;0.65;0.42;40;5200
766739.69;6284797.24;0.65;0.33;51;5200
766742.33;6284795.8;0.72;0.46;42;5760
766745.02;6284794.43;0.67;0.44;59;5360
766747.65;6284793.06;0.55;0.53;59;4400
766750.14;6284791.79;0.72;0.42;65;5760
766752.93;6284790.31;0.65;0.4;60;5200
766755.45;6284788.95;0.66;0.34;64;5280
766758.1;6284787.49;0.66;0.33;70;5280
766760.66;6284786.06;0.67;0.3;72;5360
766763.36;6284784.73;0.63;0.4;69;5040
766765.84;6284783.36;0.66;0.46;67;5280
766768.48;6284781.94;0.62;0.44;60;4960
766770.97;6284780.64;0.69;0.4;58;5520
766773.54;6284779.27;0.73;0.45;61;5840
766776.14;6284777.84;0.69;0.43;51;5520
766778.99;6284776.4;0.75;0.42;56;6000
766781.43;6284775.11;0.77;0.33;64;6160
766784.17;6284773.69;0.76;0.21;60;6080
766786.51;6284772.48;0.7;0.43;47;5600
766789.17;6284771.04;0.75;0.47;55;6000
766791.82;6284769.7;0.77;0.27;57;6160
766794.74;6284768.17;0.79;0.41;60;6320
766797.15;6284766.96;0.64;0.53;59;5120
766799.77;6284765.53;0.59;0.36;57;4720
766802.46;6284764.11;0.67;0.26;60;5360
766805.23;6284762.69;0.67;0.37;60;5360
766807.79;6284761.36;0.54;0.49;61;4320
766810.39;6284760;0.62;0.42;65;4960
766812.96;6284758.7;0.74;0.43;66;5920
766815.68;6284757.24;0.66;0.54;72;5280
766810.24;6284755.22;0.57;0.48;57;4560
766806.38;6284756.14;0.69;0.26;53;5520
766803.84;6284757.54;0.72;0.27;56;5760
766801.13;6284758.93;0.66;0.27;53;5280
766798.66;6284760.31;0.69;0.33;53;5520
766796.24;6284761.65;0.64;0.31;56;5120
766793.57;6284763.03;0.73;0.32;59;5840
766790.85;6284764.5;0.75;0.25;59;6000
766788.21;6284765.83;0.78;0.25;60;6240
766785.54;6284767.31;0.84;0.27;41;6720
766783.04;6284768.64;0.78;0.29;71;6240
766780.38;6284770.04;0.68;0.38;54;5440
766777.48;6284771.56;0.8;0.27;53;6400
766774.89;6284772.86;0.74;0.36;48;5920
766772.38;6284774.23;0.8;0.34;52;6400
766769.48;6284775.77;0.73;0.45;40;5840
766767.2;6284776.97;0.76;0.27;65;6080
766764.34;6284778.5;0.71;0.37;62;5680
766761.79;6284779.79;0.73;0.31;52;5840
766759.2;6284781.25;0.64;0.4;61;5120
766756.44;6284782.67;0.67;0.26;65;5360
766753.98;6284783.97;0.76;0.3;64;6080
766751.26;6284785.41;0.59;0.27;57;4720
766748.7;6284786.83;0.51;0.37;44;4080
766746.02;6284788.3;0.69;0.32;54;5520
766743.44;6284789.6;0.74;0.44;54;5920
766740.91;6284791.03;0.65;0.29;49;5200
766738.32;6284792.41;0.77;0.32;51;6160
766735.54;6284793.88;0.79;0.34;43;6320
766732.98;6284795.34;0.71;0.31;48;5680
766730.31;6284796.76;0.74;0.28;57;5920
766728.29;6284797.89;0.74;0.25;55;5920
766724.54;6284799.8;0.74;0.35;40;5920
766721.94;6284801.19;0.74;0.27;50;5920
766719.4;6284802.52;0.74;0.23;59;5920
766716.94;6284803.9;0.76;0.36;57;6080
766714.49;6284805.11;0.77;0.24;60;6160
766711.74;6284806.58;0.76;0.3;63;6080
766709.31;6284807.79;0.61;0.31;52;4880
766706.52;6284809.31;0.69;0.34;54;5520
766704.27;6284810.49;0.64;0.36;49;5120
766701.6;6284811.85;0.65;0.34;59;5200
766699;6284813.24;0.69;0.39;62;5520
766696.51;6284814.54;0.72;0.29;57;5760
766693.89;6284815.94;0.63;0.28;57;5040
766691.29;6284817.3;0.69;0.28;62;5520
766688.82;6284818.62;0.66;0.35;58;5280
