X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766314.9;6284536.74;0.81;0.35;0.77;6480
766314.94;6284534.46;0.76;0.44;0.95;6080
766314.94;6284532.34;0.77;0.56;0.9;6160
766309.99;6284532.25;0.84;0.92;0.63;6720
766309.87;6284534.02;0.78;0.35;0.93;6240
766309.77;6284537.84;0.73;0.37;0.85;5840
766309.68;6284540.04;0.74;0.38;0.91;5920
766309.62;6284542.19;0.82;0.39;0.47;6560
766309.6;6284546;0.74;0.33;0.85;5920
766309.5;6284548.87;0.89;0.4;0.84;7120
766309.41;6284551.87;0.77;0.33;0.78;6160
766309.33;6284554.13;0.8;0.37;0.77;6400
766309.22;6284557.27;0.81;0.37;0.88;6480
766309.17;6284560.09;0.79;0.31;0.72;6320
766309.14;6284563.13;0.71;0.35;0.92;5680
766309.06;6284565.46;0.74;0.3;0.95;5920
766308.95;6284569.46;0.84;0.37;0.76;6720
766308.89;6284571.89;0.79;0.35;0.88;6320
766308.81;6284574.16;0.72;0.37;0.88;5760
766308.7;6284577.26;0.75;0.26;0.92;6000
766308.66;6284580.83;0.71;0.3;0.74;5680
766308.57;6284582.83;0.74;0.45;0.83;5920
766308.52;6284586.47;0.86;0.93;0.48;6880
766308.38;6284588.93;0.83;1.02;0.68;6640
766308.31;6284592.09;0.77;0.35;0.89;6160
766308.32;6284594.19;0.76;0.4;0.78;6080
766308.24;6284597.34;0.74;0.33;0.92;5920
766308.12;6284600.24;0.75;0.37;0.95;6000
766308.05;6284602.57;0.83;0.33;0.83;6640
766307.92;6284606.07;0.78;0.64;0.85;6240
766307.79;6284608.48;0.77;0.38;0.89;6160
766307.75;6284612.2;0.86;0.81;0.72;6880
766307.68;6284614.68;0.81;0.4;0.89;6480
766307.64;6284617.61;0.76;0.37;0.96;6080
766307.55;6284620.48;0.81;0.43;0.8;6480
766307.43;6284623.33;0.78;0.38;0.96;6240
766307.45;6284625.94;0.81;0.4;0.79;6480
766307.39;6284629.1;0.76;0.44;0.9;6080
766307.28;6284631.87;0.8;0.4;0.81;6400
766307.16;6284634.63;0.87;1.12;0.77;6960
766307.1;6284637.83;0.78;0.46;0.91;6240
766307.05;6284640.64;0.83;0.49;0.67;6640
766307.04;6284642.13;0.86;0.53;0.82;6880
766302.13;6284640.65;0.79;0.34;0.95;6320
766302.23;6284638.26;0.78;0.51;0.88;6240
766302.29;6284634.93;0.8;0.62;0.89;6400
766302.41;6284632.36;0.75;0.63;0.93;6000
766302.49;6284629.46;0.8;0.44;0.79;6400
766302.55;6284626.03;0.77;0.36;0.91;6160
766302.66;6284623.86;0.71;0.39;0.86;5680
766302.71;6284620.68;0.72;0.44;0.84;5760
766302.78;6284617.92;0.71;0.43;0.85;5680
766302.87;6284614.56;0.71;0.4;0.68;5680
766302.99;6284612.3;0.73;0.36;0.83;5840
766303;6284609.57;0.77;0.4;0.66;6160
766303.16;6284605.81;0.78;0.59;0.7;6240
766303.16;6284603.63;0.76;0.41;0.92;6080
766303.15;6284600.59;0.8;0.35;0.96;6400
766303.26;6284597.94;0.9;0.45;0.65;7200
766303.4;6284594.43;0.77;0.44;0.87;6160
766303.43;6284592.19;0.76;0.37;0.87;6080
766303.47;6284589.21;0.7;0.32;0.82;5600
766303.53;6284586.45;0.86;0.72;0.75;6880
766303.62;6284583.13;0.75;0.32;0.9;6000
766303.63;6284580.47;0.82;0.29;0.85;6560
766303.74;6284577.51;0.8;0.34;0.93;6400
766303.85;6284574.43;0.79;0.46;0.89;6320
766303.84;6284572.27;0.97;0.37;0.66;7760
766303.93;6284567.76;0.74;0.38;0.85;5920
766304.03;6284565.95;0.78;0.4;0.88;6240
766304.15;6284563.41;0.85;0.27;0.57;6800
766304.23;6284559.58;0.81;0.37;0.95;6480
766304.31;6284557.03;0.79;0.34;0.91;6320
766304.36;6284553.85;0.83;0.32;0.87;6640
766304.4;6284551.24;0.76;0.33;0.92;6080
766304.54;6284547.74;0.83;0.27;0.81;6640
766304.57;6284545.08;0.85;0.33;0.75;6800
766304.67;6284543.25;0.8;0.3;0.88;6400
766304.72;6284540.22;0.84;0.45;0.63;6720
766304.78;6284537.59;0.8;0.5;0.79;6400
766304.9;6284533.92;0.76;0.4;0.86;6080
766304.91;6284532.09;0.8;0.32;0.86;6400
766299.85;6284532.47;0.88;0.8;0.5;7040
766299.85;6284534.5;0.74;0.39;0.88;5920
766299.86;6284536.63;0.86;0.33;0.72;6880
766299.69;6284540.16;0.83;0.94;0.72;6640
766299.6;6284542.72;0.78;0.89;0.85;6240
766299.5;6284545.89;0.79;0.33;0.96;6320
766299.46;6284548.4;0.86;0.37;0.79;6880
766299.39;6284551.84;0.8;0.26;0.84;6400
766299.36;6284554.15;0.86;0.31;0.82;6880
766299.28;6284557.44;0.85;0.31;0.94;6800
766299.23;6284560.15;0.71;0.31;0.93;5680
766299.07;6284563.11;0.79;0.31;0.88;6320
766299.03;6284565.77;0.87;0.28;0.79;6960
766299.01;6284568.53;0.82;0.39;0.9;6560
766298.97;6284571.68;0.78;0.34;0.9;6240
766298.87;6284574.38;0.81;0.34;0.97;6480
766298.82;6284577.13;0.78;0.32;0.97;6240
766298.82;6284579.8;0.78;0.35;0.84;6240
766298.62;6284583.08;0.8;0.5;0.86;6400
766298.65;6284585.05;0.87;0.41;0.71;6960
766298.46;6284588.72;0.77;0.43;0.93;6160
766298.43;6284591.9;0.88;1.15;0.67;7040
766298.34;6284594.48;0.85;1.2;0.71;6800
766298.32;6284597.2;0.75;0.5;0.92;6000
766298.21;6284600.2;0.87;0.38;0.82;6960
766298.14;6284602.88;0.77;0.97;0.93;6160
766298.07;6284605.82;0.83;0.98;0.79;6640
766297.97;6284608.84;0.76;0.39;0.87;6080
766297.95;6284612.32;0.85;0.62;0.78;6800
766297.93;6284614.66;0.82;0.97;0.78;6560
766297.75;6284617.05;0.78;0.34;0.93;6240
766297.7;6284620.25;0.74;0.95;0.89;5920
766297.55;6284623.09;0.76;1.07;0.9;6080
766297.53;6284626.45;0.88;1.01;0.54;7040
766297.51;6284628;0.74;1.11;0.82;5920
766297.43;6284632.52;0.79;0.84;0.81;6320
766297.42;6284634.19;0.7;0.34;0.89;5600
766297.33;6284637.17;0.83;1.04;0.9;6640
766324.23;6284652.23;0.24;0.53;0.49;1920
766324.29;6284650.16;0.9;0.56;0.77;7200
766324.46;6284647.47;0.87;0.39;0.93;6960
766324.55;6284644.53;0.78;0.46;0.93;6240
766324.6;6284641.25;0.81;0.43;0.83;6480
766324.65;6284638.73;0.78;0.41;0.81;6240
766324.72;6284635.04;0.87;0.27;0.64;6960
766324.84;6284632.87;0.74;0.31;0.87;5920
766324.92;6284630.02;0.74;0.36;0.91;5920
766324.98;6284627.15;0.74;0.35;0.82;5920
766325.02;6284624;0.71;0.37;0.93;5680
766325.06;6284621.23;0.74;0.38;0.84;5920
766325.21;6284618.12;0.73;0.39;0.94;5840
766325.28;6284616.4;0.72;0.52;0.88;5760
766325.26;6284612.72;0.76;0.32;0.87;6080
766325.38;6284609.82;0.7;0.26;0.83;5600
766325.46;6284606.78;0.66;0.28;0.92;5280
766325.52;6284604.06;0.76;0.36;0.86;6080
766325.57;6284601.09;0.78;0.31;0.92;6240
766325.6;6284598.35;0.73;0.26;0.87;5840
766325.61;6284595.85;0.7;0.3;0.87;5600
766325.7;6284592.27;0.78;0.31;0.85;6240
766325.82;6284589.51;0.72;0.38;0.9;5760
766325.95;6284586.48;0.69;0.37;0.91;5520
766326.03;6284583.26;0.96;0.4;0.5;7680
766326.16;6284580.63;0.83;0.32;0.93;6640
766326.17;6284577.48;0.73;0.31;0.85;5840
766326.22;6284574.84;0.71;0.39;0.91;5680
766326.36;6284571.94;0.7;0.33;0.84;5600
766326.35;6284569.04;0.73;0.31;0.93;5840
766326.37;6284566.53;0.64;0.33;0.77;5120
766326.38;6284562.8;0.84;0.45;0.37;6720
766326.45;6284559.69;0.77;0.33;0.4;6160
766326.59;6284557.06;0.74;0.41;0.58;5920
766326.65;6284554.88;0.78;0.73;0.19;6240
766326.7;6284551.63;0.72;0.35;0.89;5760
766326.81;6284548.78;0.71;0.29;0.88;5680
766326.87;6284545.91;0.73;0.3;0.95;5840
766326.92;6284543.07;0.77;0.31;0.96;6160
766327.04;6284540.03;0.75;0.31;0.93;6000
766327.05;6284537.26;0.91;0.35;0.88;7280
766327.13;6284534.57;0.78;0.43;0.77;6240
766327.28;6284531.71;0.82;0.38;0.93;6560
766322.18;6284532.31;0.79;0.41;0.88;6320
766322.06;6284535.73;0.79;0.35;0.89;6320
766322.04;6284538.03;0.73;0.38;0.91;5840
766321.89;6284541.03;0.75;0.36;0.92;6000
766321.84;6284544.37;0.76;0.37;0.9;6080
766321.95;6284547.28;0.79;0.45;0.81;6320
766321.85;6284549.95;0.78;0.43;0.88;6240
766321.82;6284553.2;0.74;0.35;0.83;5920
766321.72;6284555.32;0.79;0.35;0.6;6320
766321.72;6284559.01;0.71;0.42;0.71;5680
766321.61;6284561.85;0.71;0.32;0.95;5680
766321.52;6284564.14;0.72;0.36;0.88;5760
766321.43;6284567.76;0.72;0.42;0.89;5760
766321.39;6284570.04;0.76;0.37;0.91;6080
766321.29;6284573.89;0.74;0.25;0.82;5920
766321.19;6284576.5;0.76;0.29;0.83;6080
766321.17;6284579.1;0.72;0.3;0.87;5760
766321.05;6284582.15;0.72;0.33;0.83;5760
766320.97;6284585.65;0.81;0.37;0.89;6480
766320.91;6284587.83;0.79;0.32;0.9;6320
766320.87;6284590.78;0.72;0.32;0.89;5760
766320.82;6284593.79;0.76;0.39;0.95;6080
766320.73;6284596.38;0.86;0.37;0.77;6880
766320.68;6284599.02;0.85;0.33;0.73;6800
766320.58;6284602.24;0.77;0.37;0.84;6160
766320.52;6284605.03;0.74;0.26;0.85;5920
766320.46;6284608.11;0.77;0.33;0.9;6160
766320.42;6284611.24;0.73;0.4;0.92;5840
766320.34;6284613.74;0.72;0.35;0.89;5760
766320.25;6284617.07;0.77;0.37;0.92;6160
766320.17;6284619.78;0.78;0.32;0.77;6240
766320.15;6284622.42;0.74;0.4;0.9;5920
766320;6284625.09;0.76;0.26;0.74;6080
766319.91;6284627.78;0.72;0.28;0.77;5760
766319.86;6284631.3;0.71;0.36;0.92;5680
766319.87;6284634.09;0.74;0.38;0.89;5920
766319.75;6284636.96;0.79;0.38;0.88;6320
766319.77;6284639.56;0.77;0.34;0.77;6160
766319.55;6284643.52;0.74;0.34;0.6;5920
766319.44;6284645.64;0.8;0.4;0.95;6400
766319.34;6284648.68;0.88;0.38;0.93;7040
766319.37;6284650.87;0.85;0.55;0.93;6800
766314.66;6284641.53;0.81;0.31;0.78;6480
766314.65;6284639.02;0.75;0.32;0.94;6000
766314.73;6284636.42;0.75;0.27;0.91;6000
766314.85;6284633.37;0.76;0.29;0.78;6080
766314.89;6284630.08;0.75;0.45;0.79;6000
766314.94;6284628;0.72;0.28;0.81;5760
766315.06;6284623.89;0.83;0.8;0.5;6640
766315.14;6284621.25;0.76;0.32;0.87;6080
766315.16;6284618.63;0.76;0.4;0.88;6080
766315.24;6284615.85;0.77;0.33;0.9;6160
766315.35;6284612.49;0.82;0.37;0.84;6560
766315.39;6284609.98;0.72;0.48;0.92;5760
766315.51;6284606.89;0.7;0.31;0.85;5600
766315.56;6284604.39;0.7;0.36;0.95;5600
766315.66;6284601.16;0.77;0.37;0.81;6160
766315.75;6284598.86;0.74;0.34;0.86;5920
766315.78;6284594.62;0.87;0.55;0.45;6960
766315.8;6284593.11;0.77;0.34;0.89;6160
766315.99;6284589.39;0.78;0.36;0.9;6240
766316;6284587.67;0.77;0.45;0.78;6160
766316.14;6284582.9;0.83;0.46;0.74;6640
766316.11;6284581.05;0.75;0.34;0.87;6000
766316.19;6284578.51;0.7;0.33;0.88;5600
766316.22;6284575.95;0.77;0.31;0.66;6160
766316.39;6284572.66;0.76;0.36;0.53;6080
766316.46;6284569.1;0.74;0.39;0.88;5920
766316.58;6284565.97;0.73;0.31;0.75;5840
766316.63;6284562.73;0.86;0.44;0.49;6880
766316.71;6284560.35;0.82;0.4;0.77;6560
766316.8;6284557.05;0.9;0.36;0.69;7200
766316.87;6284555.27;0.84;0.33;0.73;6720
766316.93;6284551.39;0.79;0.51;0.62;6320
766317.01;6284548.67;0.8;0.33;0.85;6400
766317.08;6284546.5;0.89;0.38;0.76;7120
766317.21;6284543.04;0.8;0.36;0.88;6400
