X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766793.27;6284766.12;0.68;0.38;67;5440;74.5
766795.9;6284764.78;0.6;0.51;58;4800;60.9
766798.56;6284763.35;0.58;0.45;53;4640;54.4
766801.11;6284762;0.66;0.48;53;5280;57.9
766803.75;6284760.67;0.66;0.42;51;5280;55.4
766806.61;6284759.15;0.74;0.4;52;5920;59.6
766809.24;6284757.79;0.66;0.48;59;5280;64.5
766811.71;6284756.53;0.71;0.38;56;5680;62.5
766814.17;6284755.26;0.69;0.42;62;5520;68.9
766809.02;6284753.18;0.74;0.49;70;5920;83.2
766805.34;6284753.85;0.68;0.29;56;5440;60.5
766802.6;6284755.38;0.67;0.21;58;5360;61.6
766800.06;6284756.67;0.71;0.26;60;5680;66.1
766797.38;6284758.17;0.66;0.21;49;5280;52.1
766794.96;6284759.5;0.67;0.32;63;5360;68.2
766792.48;6284760.78;0.71;0.35;47;5680;53
766789.76;6284762.24;0.78;0.26;58;6240;67.1
766786.68;6284763.83;0.79;0.24;37;6320;50.8
766784.44;6284765.07;0.71;0.22;57;5680;62.4
766781.97;6284766.38;0.71;0.26;56;5680;61.5
766779.3;6284767.78;0.7;0.3;42;5600;49.6
766776.46;6284769.27;0.76;0.26;58;6080;66.1
766774.17;6284770.43;0.89;0.32;55;7120;69.3
766771.31;6284771.94;0.8;0.23;57;6400;66.5
766769.12;6284773.14;0.79;0.2;54;6320;62.4
766765.87;6284774.84;0.69;0.31;49;5520;53.9
766763.28;6284776.23;0.66;0.26;63;5280;67.2
766760.83;6284777.45;0.72;0.25;48;5760;53.7
766758;6284779.06;0.71;0.34;57;5680;63.3
766755.26;6284780.46;0.74;0.32;52;5920;59
766752.8;6284781.77;0.72;0.25;59;5760;65.3
766749.9;6284783.31;0.76;0.38;56;6080;64.8
766747.53;6284784.61;0.67;0.3;63;5360;68.1
766744.91;6284786.05;0.69;0.33;63;5520;69.4
766742.4;6284787.33;0.7;0.26;55;5600;60
766739.74;6284788.82;0.67;0.25;59;5360;63
766737.07;6284790.24;0.71;0.19;65;5680;71.6
766734.99;6284791.31;0.74;0.21;53;5920;59.2
766731.92;6284793.07;0.68;0.18;61;5440;65.1
766728.86;6284794.69;0.66;0.13;64;5280;67.3
766726.66;6284795.92;0.65;0.13;63;5200;65.6
766723.61;6284797.49;0.7;0.22;57;5600;61.9
766721.21;6284798.73;0.64;0.13;56;5120;57.5
766717.92;6284800.44;0.65;0.22;65;5200;68.8
766715.83;6284801.64;0.67;0.21;60;5360;63.8
766713.16;6284802.99;0.82;0.26;53;6560;63.1
766710.44;6284804.44;0.68;0.33;54;5440;58.7
766708.32;6284805.47;0.78;0.26;56;6240;64.7
766705.64;6284806.95;0.76;0.35;53;6080;61.1
766702.79;6284808.43;0.61;0.31;54;4880;55.7
766700.31;6284809.7;0.7;0.26;61;5600;66.8
766697.78;6284811.06;0.74;0.28;67;5920;76.6
766695.3;6284812.34;0.74;0.21;67;5920;76.1
766692.5;6284813.84;0.69;0.25;61;5520;66.3
766690.19;6284815.03;0.62;0.23;54;4960;55.5
766687.71;6284816.38;0.77;0.23;58;6160;66.3
766684.87;6284817.85;0.55;0.32;38;4400;44.2
766682.45;6284819.13;0.71;0.25;59;5680;64.9
766679.79;6284820.54;0.75;0.29;47;6000;54.2
766677.26;6284821.81;0.61;0.34;50;4880;52
766674.67;6284823.21;0.64;0.3;57;5120;59.9
766672.31;6284824.42;0.65;0.32;62;5200;66.2
766669.52;6284825.88;0.67;0.3;64;5360;69.3
766667.05;6284827.24;0.71;0.35;64;5680;71.8
766664.46;6284828.62;0.75;0.3;56;6000;63.6
766661.61;6284830.15;0.7;0.35;55;5600;60.8
766659.39;6284831.33;0.72;0.29;62;5760;69.3
766656.83;6284832.59;0.75;0.25;55;6000;62.1
766654.08;6284833.96;0.67;0.3;52;5360;56
766651.51;6284832.4;0.71;0.38;55;5680;61.4
766652.87;6284829.38;0.71;0.49;42;5680;51.7
766655.41;6284827.99;0.78;0.47;52;6240;61.9
766658.03;6284826.6;0.72;0.29;62;5760;69.3
766660.52;6284825.22;0.71;0.36;56;5680;62.4
766663.11;6284823.82;0.72;0.37;64;5760;72.5
766665.75;6284822.49;0.68;0.47;44;5440;51.1
766668.3;6284821.16;0.74;0.27;61;5920;68.8
766671.16;6284819.72;0.73;0.33;59;5840;66.4
766673.81;6284818.33;0.69;0.33;58;5520;63.5
766676.32;6284817.02;0.79;0.34;59;6320;69.5
766679.03;6284815.58;0.69;0.4;57;5520;62.9
766681.59;6284814.25;0.69;0.45;62;5520;69.2
766684.21;6284812.88;0.79;0.41;61;6320;72.6
766686.76;6284811.55;0.48;0.43;47;3840;46.6
766689.45;6284810.1;0.73;0.38;50;5840;56.9
766691.92;6284808.81;0.88;0.42;61;7040;77.6
766694.64;6284807.34;0.82;0.34;64;6560;77.6
766697.25;6284805.95;0.87;0.38;61;6960;76.6
766699.86;6284804.61;0.68;0.46;54;5440;59.7
766702.36;6284803.37;0.76;0.34;65;6080;75.7
766704.88;6284801.96;0.75;0.43;57;6000;65.9
766707.4;6284800.65;0.85;0.37;60;6800;74.1
766709.99;6284799.19;0.79;0.49;59;6320;70.9
766712.54;6284797.81;0.78;0.27;56;6240;64.8
766715.15;6284796.45;0.7;0.22;56;5600;60.8
766717.3;6284795.31;0.67;0.22;49;5360;52.5
766720.16;6284793.85;0.69;0.21;59;5520;63.5
766722.92;6284792.46;0.66;0.25;66;5280;70.9
766725.16;6284791.21;0.71;0.12;57;5680;61.5
766728.32;6284789.6;0.65;0.2;64;5200;67.4
766730.54;6284788.43;0.72;0.25;68;5760;76.6
766733.17;6284787.02;0.69;0.23;63;5520;68.4
766735.93;6284785.47;0.7;0.59;44;5600;52.9
766738.5;6284784.16;0.71;0.17;65;5680;71.4
766741.32;6284782.7;0.72;0.41;56;5760;63.2
766743.9;6284781.33;0.69;0.37;63;5520;69.7
766746.56;6284779.8;0.7;0.32;68;5600;76.3
766748.99;6284778.49;0.66;0.46;51;5280;55.7
766751.67;6284777.04;0.7;0.34;58;5600;64
766754.3;6284775.69;0.76;0.48;61;6080;71.8
766756.75;6284774.42;0.79;0.54;45;6320;56.1
766759.4;6284773.08;0.72;0.23;60;5760;66.3
766761.84;6284771.75;0.94;0.29;55;7520;71.6
766764.42;6284770.4;0.78;0.45;56;6240;66.3
766767.56;6284768.73;0.65;0.36;55;5200;58.7
766769.93;6284767.47;0.74;0.3;62;5920;70.4
766772.67;6284765.97;0.81;0.41;53;6480;63.9
766774.98;6284764.71;0.74;0.37;59;5920;67.3
766777.77;6284763.22;0.69;0.31;61;5520;66.8
766780.14;6284761.95;0.7;0.37;62;5600;69
766782.94;6284760.55;0.71;0.49;56;5680;63.4
766785.71;6284759.19;0.75;0.52;66;6000;78.3
766788.32;6284757.87;0.78;0.49;64;6240;76.9
766790.98;6284756.41;0.68;0.63;58;5440;65.5
766793.64;6284755.01;0.71;0.52;68;5680;78.8
766796.24;6284753.63;0.68;0.55;58;5440;64.8
766798.91;6284752.23;0.7;0.44;58;5600;64.8
766800.78;6284750.94;0.67;0.43;66;5360;73
766791.47;6284750.17;0.82;0.26;66;6560;79.6
766789.19;6284751.29;0.84;0.18;62;6720;74.4
766786.34;6284752.81;0.65;0.22;65;5200;68.8
766783.75;6284754.18;0.75;0.23;71;6000;82.5
766781.19;6284755.63;0.71;0.18;70;5680;78.2
766778.57;6284757.06;0.73;0.26;65;5840;73.3
766775.87;6284758.5;0.73;0.24;57;5840;63.4
766773.47;6284759.67;0.6;0.29;55;4800;56.1
766770.67;6284761.16;0.77;0.21;68;6160;79.1
766767.94;6284762.54;0.77;0.25;55;6160;63
766765.38;6284763.91;0.75;0.39;52;6000;60
766762.72;6284765.29;0.77;0.2;65;6160;74.8
766760.29;6284766.61;0.69;0.14;63;5520;67.7
766757.27;6284768.28;0.76;0.27;62;6080;71.1
766754.72;6284769.53;0.65;0.25;62;5200;65.6
766751.9;6284770.97;0.67;0.24;57;5360;60.7
766749.54;6284772.33;0.66;0.19;59;5280;62
766746.88;6284773.75;0.76;0.3;60;6080;68.8
766744.21;6284775.26;0.69;0.19;64;5520;69.3
766741.83;6284776.48;0.8;0.35;50;6400;59.7
766739.06;6284777.96;0.64;0.2;73;5120;78.7
766736.47;6284779.43;0.67;0.23;66;5360;71.2
766733.64;6284780.83;0.63;0.25;66;5040;69.4
766731.11;6284782.06;0.6;0.27;71;4800;74.5
766728.44;6284783.39;0.64;0.21;64;5120;67.1
766725.79;6284784.82;0.7;0.17;62;5600;67.2
766723.17;6284786.27;0.65;0.31;47;5200;50.5
766720.48;6284787.71;0.66;0.2;68;5280;72.9
766717.69;6284789.25;0.75;0.17;58;6000;64.9
766714.97;6284790.56;0.78;0.24;51;6240;59
766712.51;6284791.87;0.69;0.19;57;5520;61.2
766709.4;6284793.51;0.62;0.29;60;4960;62.2
766707.43;6284794.63;0.63;0.22;62;5040;64.4
766704.35;6284796.29;0.65;0.32;52;5200;55.3
766701.56;6284797.77;0.62;0.16;65;4960;66.9
766698.4;6284799.38;0.64;0.17;61;5120;63.2
766696.54;6284800.4;0.73;0.35;51;5840;57.8
766693.62;6284801.99;0.7;0.25;61;5600;66.7
766690.83;6284803.41;0.7;0.27;57;5600;62.3
766687.84;6284804.99;0.66;0.23;65;5280;69.5
766685.54;6284806.11;0.66;0.29;63;5280;67.5
766682.73;6284807.56;0.71;0.42;67;5680;76.4
766680.28;6284808.89;0.71;0.16;66;5680;72.6
766677.21;6284810.44;0.64;0.16;65;5120;67.9
766674.6;6284811.89;0.64;0.21;58;5120;60.2
766671.93;6284813.34;0.68;0.18;66;5440;71.3
766669.16;6284814.82;0.69;0.25;47;5520;51.6
766666.57;6284816.19;0.73;0.27;73;5840;84.6
766664.34;6284817.36;0.67;0.19;60;5360;63.6
766661.39;6284818.96;0.77;0.44;31;6160;50.2
766658.09;6284820.74;0.73;0.38;36;5840;49.7
766656.04;6284821.82;0.71;0.34;57;5680;63.3
766652.93;6284823.37;0.72;0.26;62;5760;69
766650.61;6284824.62;0.67;0.48;48;5360;53.3
766647.19;6284823.93;0.76;0.31;54;6080;62
766647.61;6284820.46;0.78;0.39;50;6240;59.1
766650.65;6284819.02;0.71;0.35;56;5680;62.3
766652.89;6284817.87;0.78;0.38;56;6240;65.7
766655.41;6284816.51;0.66;0.24;60;5280;63.6
766657.92;6284815.14;0.81;0.28;53;6480;62.8
766660.68;6284813.64;0.65;0.26;60;5200;63.3
766662.3;6284812.74;0.68;0.16;53;5440;56.4
766666.15;6284810.8;0.68;0.19;65;5440;70.1
766668.04;6284809.84;0.79;0.42;51;6320;60.8
766671.31;6284808.07;0.69;0.48;51;5520;57.1
766673.29;6284806.98;0.79;0.39;56;6320;66.3
766676.2;6284805.5;0.81;0.49;41;6480;55.1
766679.26;6284803.85;0.8;0.47;44;6400;55.5
766681.52;6284802.76;0.86;0.25;33;6880;52.2
766684.45;6284801.2;0.76;0.21;55;6080;62.3
766686.73;6284800.01;0.66;0.25;66;5280;70.9
766689.33;6284798.66;0.75;0.3;56;6000;63.6
766692.19;6284797.23;0.76;0.31;58;6080;66.5
766694.56;6284795.92;0.74;0.38;53;5920;60.5
766697.35;6284794.41;0.74;0.3;31;5920;47.9
766699.86;6284793.12;0.69;0.31;54;5520;58.9
766702.5;6284791.74;0.72;0.24;60;5760;66.4
766705.03;6284790.31;0.81;0.18;63;6480;74.1
766707.43;6284789.08;0.79;0.32;61;6320;71.8
766710.46;6284787.44;0.66;0.31;72;5280;79.5
766713;6284786.07;0.61;0.19;60;4880;61
766715.44;6284784.82;0.65;0.27;62;5200;65.7
766718.03;6284783.47;0.69;0.42;55;5520;60.8
766721.12;6284781.84;0.65;0.2;67;5200;71.2
766723.79;6284780.51;0.67;0.25;65;5360;70.2
766725.82;6284779.45;0.73;0.38;59;5840;66.9
766728.61;6284777.92;0.72;0.39;49;5760;55.6
766731.58;6284776.39;0.7;0.29;56;5600;61.4
766734.27;6284774.94;0.63;0.21;57;5040;58.8
766736.95;6284773.53;0.66;0.29;58;5280;61.7
766739.41;6284772.3;0.68;0.14;69;5440;74.8
766742.24;6284770.79;0.7;0.33;54;5600;59.5
766744.78;6284769.47;0.77;0.38;54;6160;63
766747.56;6284767.94;0.8;0.39;61;6400;72.9
766749.98;6284766.61;0.77;0.3;64;6160;74.5
766752.6;6284765.25;0.7;0.2;63;5600;68.7
766755.08;6284763.93;0.76;0.4;62;6080;72.3
766757.87;6284762.48;0.69;0.29;58;5520;63.1
766760.28;6284761.2;0.74;0.27;71;5920;82.2
766762.73;6284759.93;0.88;0.28;64;7040;80.4
766765.43;6284758.48;0.87;0.43;60;6960;75.7
766768;6284757.07;0.73;0.41;64;5840;73.4
766770.72;6284755.7;0.74;0.34;65;5920;74.6
766773.14;6284754.42;0.71;0.41;61;5680;68.6
766775.91;6284753.05;0.7;0.39;64;5600;71.7
766778.61;6284751.71;0.63;0.56;58;5040;62.6
766781.17;6284750.41;0.67;0.47;63;5360;69.6
766783.62;6284749.07;0.78;0.37;67;6240;79.8
766784.16;6284748.67;0.56;0.33;52;4480;51.9
766784.93;6284748.12;0.73;0.36;72;5840;84.2
766709.31;6284818.46;0.63;0.27;55;5040;64.4
766699.84;6284823.49;0.6;0.39;60;4800;70.4
766693.2;6284826.96;0.57;0.26;51;4560;59.3
766689.36;6284829;0.65;0.32;53;5200;64
766686.55;6284830.45;0.54;0.38;47;4320;57.2
766684.02;6284831.84;0.57;0.38;52;4560;62
766681.49;6284833.11;0.56;0.34;49;4480;58.7
766678.64;6284834.71;0.59;0.4;56;4720;66.4
766675.56;6284836.3;0.59;0.35;54;4720;63.7
766674.01;6284837.13;0.62;0.25;53;4960;62
766670.64;6284838.97;0.59;0.28;46;4720;56.2
766668.46;6284840.07;0.69;0.35;54;5520;66.5
766665.55;6284841.59;0.7;0.39;58;5600;71.4
