X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766715.74;6284801.97;1.3;0.42;76;10400;65.6
766713.32;6284803.11;1.21;0.35;75;9680;59.9
766710.34;6284804.83;1.26;0.28;72;10080;56.9
766708.1;6284805.97;1.62;0.42;78;12960;81
766705.19;6284807.6;0.92;0.52;59;7360;40.6
766702.72;6284808.89;1.38;0.47;68;11040;60.3
766700.29;6284810.18;1.25;0.37;79;10000;66.2
766697.85;6284811.42;1.33;0.26;79;10640;66.6
766695.53;6284812.64;1.26;0.26;83;10080;68.9
766692.84;6284814.06;1.09;0.3;79;8720;59.3
766689.67;6284815.73;1.08;0.39;69;8640;50.7
766687.92;6284816.65;1.08;0.41;73;8640;54.9
766684.58;6284818.39;1.24;0.28;63;9920;47.9
766682.8;6284819.36;1.21;0.26;73;9680;56
766680.4;6284820.55;1.2;0.25;73;9600;55.5
766677.4;6284822.06;1.09;0.46;62;8720;46
766674.97;6284823.43;1.14;0.31;75;9120;56.9
766672.52;6284824.81;1.19;0.37;67;9520;51.6
766670.06;6284826.02;1.1;0.56;74;8800;59.5
766667.4;6284827.44;1.19;0.51;67;9520;54.2
766665.15;6284828.67;1.11;0.6;73;8880;59.6
766661.82;6284830.43;1.07;0.24;74;8560;52.5
766659.91;6284831.45;0.85;0.28;73;6800;46.3
766657.37;6284832.63;1.01;0.39;71;8080;50.6
766654.62;6284833.99;1.05;0.47;66;8400;48.6
766652.24;6284833.95;1.57;0.53;74;12560;76.1
766651.31;6284830.4;0.95;0.38;57;7600;37.9
766653.97;6284828.95;1.16;0.3;66;9280;48.7
766656.97;6284827.26;1.33;0.28;69;10640;56
766659.37;6284826.01;1.16;0.39;71;9280;54.9
766662.06;6284824.46;1.19;0.32;70;9520;53.6
766664.42;6284823.25;1.56;0.41;76;12480;75.3
766667.66;6284821.6;1.1;0.35;61;8800;43.8
766669.68;6284820.52;1.14;0.31;73;9120;54.8
766672.36;6284819.21;1.27;0.39;71;10160;58.4
766674.92;6284817.89;1.34;0.36;80;10720;70.6
766677.67;6284816.48;1.11;0.34;71;8880;52.6
766680.18;6284815.13;1.28;0.33;73;10240;59.6
766682.82;6284813.75;1.16;0.39;75;9280;59.1
766684.96;6284812.64;1.38;0.32;72;11040;61.6
766688.47;6284810.75;1.04;0.21;59;8320;39
766690.27;6284809.8;1.11;0.48;62;8880;46.9
766692.5;6284808.67;1.4;0.41;79;11200;72.9
766695.07;6284807.29;1.51;0.3;79;12080;74.5
766697.7;6284805.9;1.45;0.31;76;11600;68.6
766700.61;6284804.36;1.37;0.39;71;10960;61.6
766702.52;6284803.45;1.14;0.31;79;9120;61.1
766705.32;6284801.93;0.95;0.28;63;7600;40.8
766707.53;6284800.8;1.23;0.35;79;9840;65.1
766709.79;6284799.52;1.24;0.27;71;9920;55.1
766712.09;6284798.23;1.18;0.36;68;9440;52.1
766714.4;6284796.89;1.03;0.28;68;8240;46.7
766716.82;6284795.67;1.16;0.3;73;9280;55.3
766719.71;6284794.24;1.2;0.38;70;9600;55
766722.35;6284792.91;1.36;0.29;76;10880;64.8
766724.6;6284791.7;1.07;0.5;72;8560;55.3
766727.45;6284790.21;1.08;0.35;73;8640;53.8
766729.98;6284788.91;1.25;0.29;78;10000;63.3
766732.58;6284787.53;1.11;0.29;73;8880;53.6
766734.74;6284786.35;0.93;0.32;55;7440;35.4
766737.73;6284784.64;1.09;0.23;76;8720;54.8
766740.1;6284783.44;1.27;0.49;70;10160;59.3
766742.83;6284781.97;1.15;0.46;67;9200;52.1
766745.17;6284780.7;1.48;0.35;73;11840;66.9
766747.77;6284779.24;1.12;0.3;70;8960;51.2
766750.84;6284777.61;1.42;0.34;68;11360;59
766753.04;6284776.42;1.5;0.37;79;12000;75.9
766755.45;6284775.16;0.99;0.33;63;7920;42.5
766758.47;6284773.57;1.11;0.34;74;8880;55.5
766760.95;6284772.31;1.57;0.38;78;12560;77.8
766763.23;6284771.12;1.28;0.25;69;10240;54
766765.74;6284769.76;1;0.34;65;8000;44.4
766769.13;6284767.95;1.28;0.3;67;10240;52.9
766771.05;6284766.93;1.22;0.4;81;9760;68.2
766773.66;6284765.46;1.5;0.39;72;12000;67.4
766776.18;6284764.1;1.14;0.4;71;9120;54.5
766779.08;6284762.57;1.2;0.29;81;9600;65
766781.43;6284761.37;1.29;0.31;73;10320;59.5
766784.43;6284759.84;1.22;0.42;74;9760;60.6
766786.75;6284758.67;1.12;0.32;82;8960;64
766789.24;6284757.32;1.41;0.41;76;11280;69.4
766791.86;6284755.95;1.16;0.32;78;9280;60.9
766794.45;6284754.61;1.05;0.32;71;8400;50.5
766797.12;6284753.19;1.3;0.33;76;10400;63.6
766799.5;6284751.97;1.36;0.36;79;10880;70.1
766801.35;6284751;1.15;0.52;86;9200;74.9
766792.4;6284750.13;0.84;0.49;76;6720;52.3
766790.13;6284751.25;1.16;0.44;79;9280;64.6
766787.8;6284752.45;1.24;0.34;68;9920;53.4
766785.28;6284753.83;1.11;0.54;79;8880;65
766782.87;6284755.09;1.19;0.47;84;9520;72.6
766780.33;6284756.58;1.29;0.51;81;10320;73.6
766777.56;6284758.04;1.09;0.48;68;8720;51.7
766775.86;6284758.98;1.5;0.33;66;12000;59.2
766772.39;6284760.7;1.26;0.3;67;10080;52.3
766770.25;6284761.82;1.17;0.58;82;9360;71.9
766767.48;6284763.25;1.44;0.3;77;11520;69.2
766765;6284764.54;1.21;0.23;74;9680;56.5
766762.6;6284765.81;1.31;0.32;81;10480;69.8
766760.29;6284767.08;1.25;0.43;75;10000;62.9
766757.53;6284768.56;1.36;0.36;75;10880;65.2
766755.03;6284769.87;1.1;0.41;73;8800;55.5
766752.27;6284771.29;1.25;0.36;71;10000;57.1
766749.99;6284772.59;1.32;0.59;77;10560;71.6
766747.55;6284773.93;1.03;0.46;77;8240;58.4
766744.97;6284775.29;1.18;0.41;83;9440;69.5
766742.37;6284776.58;1.47;0.58;59;11760;58.8
766739.77;6284778.02;1.28;0.38;79;10240;67.5
766737.41;6284779.38;1.09;0.41;72;8720;54.2
766735.14;6284780.5;1.06;0.33;76;8480;55.8
766732.49;6284781.91;1.14;0.47;80;9120;65.7
766729.78;6284783.25;1.35;0.56;70;10800;63.5
766727.29;6284784.52;1.29;0.44;58;10320;47.5
766725.08;6284785.66;1.17;0.54;63;9360;50.3
766721.63;6284787.47;1.29;0.54;78;10320;70.5
766719.58;6284788.58;1.13;0.27;71;9040;51.9
766716.63;6284790.12;1.13;0.35;76;9040;58.4
766713.95;6284791.56;1.2;0.33;68;9600;52.1
766711.84;6284792.69;1.1;0.26;63;8800;44
766709.08;6284794.25;1.09;0.28;71;8720;50.9
766706.41;6284795.69;1.11;0.57;62;8880;48.3
766704.02;6284797.02;1.11;0.33;68;8880;49.6
766701.63;6284798.27;1.29;0.33;80;10320;68
766698.66;6284799.76;1.14;0.3;83;9120;65.5
766696.09;6284801.14;1.04;0.45;61;8320;43.8
766693.62;6284802.42;1.47;0.35;72;11760;65.4
766690.86;6284803.84;1.3;0.29;75;10400;61.6
766688.19;6284805.31;1.12;0.34;77;8960;58.9
766685.85;6284806.5;1.14;0.29;75;9120;56.5
766683.19;6284807.94;1.34;0.38;79;10720;69.8
766680.95;6284809.09;1.21;0.32;82;9680;67.2
766678.06;6284810.59;1.29;0.42;80;10320;70.1
766675.52;6284811.97;1.2;0.41;74;9600;59.7
766672.95;6284813.36;1.08;0.46;85;8640;69.4
766670.34;6284814.74;1.07;0.49;67;8560;50.4
766667.59;6284816.19;1.29;0.32;79;10320;66.6
766665.11;6284817.37;1.06;0.37;77;8480;57.6
766663.42;6284818.21;1.1;0.27;64;8800;45
766659.7;6284820.23;0.96;0.43;46;7680;31.8
766657.41;6284821.52;1.02;0.4;74;8160;53.9
766654.94;6284822.8;1.02;0.53;73;8160;55.4
766652.12;6284824.26;1.13;0.47;79;9040;64.2
766650.27;6284825.05;0.8;0.44;34;6400;23.5
766647.05;6284823.97;1.07;0.48;70;8560;53
766647.58;6284820.79;1.33;0.43;75;10640;65.7
766650.83;6284819.09;1.19;0.33;75;9520;58.8
766652.42;6284818.32;1.3;0.35;75;10400;62.9
766655;6284816.93;1.15;0.31;72;9200;54.2
766657.63;6284815.53;1.42;0.28;86;11360;80
766660.44;6284814.08;1.05;0.28;68;8400;47.2
766662.36;6284813.05;1.17;0.34;78;9360;61.6
766665.6;6284811.3;1.12;0.77;74;8960;64.6
766667.48;6284810.31;1.27;0.37;80;10160;68.2
766670.07;6284808.97;1.02;1.27;13;8160;31.6
766672.84;6284807.52;1.31;0.37;79;10480;68.4
766675.49;6284806.2;1.1;0.73;62;8800;50.8
766677.09;6284805.34;1.14;1.07;42;9120;44.7
766679.95;6284803.74;1.24;0.43;72;9920;59.3
766682.45;6284802.51;1.04;0.25;60;8320;40.2
766684.89;6284801.25;1.27;0.28;68;10160;53.2
766687.42;6284799.92;1.13;0.34;77;9040;59.2
766689.81;6284798.63;1.23;0.26;67;9840;50.8
766692.61;6284797.22;1.23;0.45;74;9840;61.5
766694.72;6284796.01;1.04;0.32;75;8320;54
766697.77;6284794.39;1.09;0.26;28;8720;24.5
766700.16;6284793.17;1.06;0.49;74;8480;56.8
766702.58;6284791.84;1.22;0.23;76;9760;58.9
766704.87;6284790.55;1.06;0.48;73;8480;55.6
766707.03;6284789.47;1.31;0.36;74;10480;62.3
766709.91;6284787.9;0.95;0.41;73;7600;51.2
766712.24;6284786.66;0.95;0.35;69;7600;46.6
766714.68;6284785.43;0.88;0.28;71;7040;45.4
766717.06;6284784.17;1.13;0.27;72;9040;52.8
766720.13;6284782.51;1.11;0.43;68;8880;51.4
766722.27;6284781.41;1.44;0.47;78;11520;74.7
766724.89;6284780.06;1.19;0.4;78;9520;63.6
766727.51;6284778.65;1.11;0.44;58;8880;43
